Asset Name,OS,huntress,microsoft-ad
aai-plotter,b'Windows Server 2019 Standard', ,microsoft-ad
andrewb-w10,b'Windows 10 Pro for Workstations',huntress,microsoft-ad
azauria-w10,b'Windows 10 Pro', ,microsoft-ad
cara-5550,b'Windows 10 Pro', ,microsoft-ad
cindi,b'Windows 10 Pro',huntress,microsoft-ad
david-w10,b'Windows 10 Pro',huntress,microsoft-ad
dc-backups,b'Windows 10 Pro',huntress, 
dc-files,b'Windows Server 2019 Standard',huntress,microsoft-ad
desktop-0f06lf7,b'Windows 10 Pro',huntress,microsoft-ad
djung-5550,b'Windows 10 Pro', ,microsoft-ad
graphics-w10,b'Windows 11 Pro', ,microsoft-ad
greg-w11,b'Windows 11 Pro', ,microsoft-ad
ju-w10,b'Windows 10 Pro',huntress,microsoft-ad
katie-w10,b'Windows 10 Pro',huntress,microsoft-ad
lauren-5570,b'Windows 10 Pro', ,microsoft-ad
marcus-5570,b'Windows 11 Pro', ,microsoft-ad
marcus-surfacep,b'Windows 10 Pro', ,microsoft-ad
megumi-5550,b'Windows 10 Pro',huntress,microsoft-ad
sarah-5550,b'Windows 10 Pro', ,microsoft-ad
shannon-5550,b'Windows 10 Pro', ,microsoft-ad
sherry-5550,b'Windows 10 Pro', ,microsoft-ad
shub-w10-,b'Windows 11 Pro', ,microsoft-ad
tim-surface,b'Windows 11 Pro', ,microsoft-ad
tim-w10,b'Windows 10 Pro',huntress,microsoft-ad
tom-5570,b'Windows 11 Pro', ,microsoft-ad
zak-5550,b'Windows 10 Pro', ,microsoft-ad
