Asset Name,OS,huntress,sentinelone
autumn-pc,b'Windows 10 Pro 19045', ,sentinelone
bill-pc,b'Windows 10 Pro 19045',huntress,sentinelone
brevard-srv,b'Windows Server 2022 Standard 20348',huntress,sentinelone
brevardins-dc1,b'Windows Server 2022 Standard 20348',huntress,sentinelone
brittany-pc,b'Windows 10 Pro 19045',huntress,sentinelone
heather-pc,b'Windows 10 Pro 19045',huntress,sentinelone
holly-pc,b'Windows 10 Pro 19045',huntress,sentinelone
joy-hp,b'Windows 10 Pro 19045',huntress,sentinelone
julie-hp,b'Windows 10 Pro 19045',huntress,sentinelone
kimberly-pc,b'Windows 10 Pro 19045',huntress,sentinelone
leannapc,b'Windows 10 Pro 19045',huntress,sentinelone
leanne-pc,b'Windows 10 Pro 19045',huntress,sentinelone
roxanne-hp,b'Windows 10 Pro 19045',huntress,sentinelone
roxanne-pc,b'Windows 10 Pro 19045',huntress,sentinelone
