Asset Name,OS,cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
000077795257-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
001107511257-l,b'Windows 10 Pro',cb-cloud, ,huntress,microsoft-ad,sentinelone
002461100357-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
003016400157-l,b'Windows 10 Pro',cb-cloud, ,huntress,microsoft-ad,sentinelone
003421410957-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
003451110957-l,b'Windows 10 Enterprise',cb-cloud, ,huntress,microsoft-ad, 
004492203757-l,b'Windows 10 Enterprise', , ,huntress,microsoft-ad,sentinelone
004681203757-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
007310311257-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
007327211257-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
007330111257-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
008321703757-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
008908304957-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
013663204557-l,b'Windows 10 Enterprise',cb-cloud, ,huntress,microsoft-ad,sentinelone
013683701857-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
013683704557-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
014465104957-l,b'Windows 10 Enterprise',cb-cloud, ,huntress,microsoft-ad, 
014481304957-l,b'Windows 10 Pro', , ,huntress,microsoft-ad,sentinelone
014491204957-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
014549504957-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
014551504957-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
014553304957-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
014596304957-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
014636104957-l,b'Windows 10 Pro', , ,huntress, , 
014641504957-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
015711603657-l,b'Windows 10 Pro',cb-cloud, ,huntress,microsoft-ad,sentinelone
015719503657-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
016715111557-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
017974704357-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
021054203057-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
021174603057-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
021207203057-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
021963703857-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
022832404657-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
025481104757-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
025501104757-l,b'Windows 10 x64',cb-cloud, , , , 
025537604757-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
025615204757-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
025630504757-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
025638404757-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
025647404757-l,b'Windows 10 Enterprise', , ,huntress,microsoft-ad,sentinelone
025729304757-l,b'Windows 10 Enterprise', , ,huntress,microsoft-ad,sentinelone
025782404757-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
025826504757-l,b'Windows 10 Enterprise',cb-cloud, ,huntress,microsoft-ad,sentinelone
025849795157-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
025982295157-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
026358495157-l,b'Windows 10 Pro', , ,huntress,microsoft-ad,sentinelone
027096495157-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
027426795157-l,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
036441305057-l,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
aksurface4,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
cfc-cvma-01,b'Windows Server 2019 Standard 17763', , ,huntress,microsoft-ad,sentinelone
cfc-hq01,b'Windows Server 2019 Standard',cb-cloud, , ,microsoft-ad, 
cfcl01iykkekwfr,b'Windows 10 Enterprise 19042', , ,huntress,microsoft-ad,sentinelone
cfcl0cqooqoymcp,b'Windows 10 Enterprise',cb-cloud, ,huntress,microsoft-ad, 
cfcl0cywfayndxh,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
cfcl0jtkxe6dbj3,b'Windows 10 Pro', , ,huntress,microsoft-ad,sentinelone
cfcl0p2r6yxmyys,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
cfcl0pwjio9gjza,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
cfcl0shauatuoef,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
cfcl0tygn4634ew,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
cfcl0wo7dx9fx45,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
cfcl0zvt9l6nrgp,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
cfcl1bwzzuzsv3z,b'Windows 10 Enterprise 19044',cb-cloud, ,huntress,microsoft-ad,sentinelone
cfcl1cst8dp0ev1,b'Windows 10 Enterprise 19044', , ,huntress,microsoft-ad,sentinelone
cfcl1ds8t3loizw,b'Windows 10 Enterprise',cb-cloud, ,huntress,microsoft-ad, 
