Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sophos
cwa-arch,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sophos
cwa-d002,b'Windows 10 Pro', ,huntress,microsoft-ad, ,sophos
cwa-desk075,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
cwa-dfs1,b'Windows Storage Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sophos
cwa-dfs2,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sophos
cwa-dfs4, , , ,microsoft-ad, , 
cwa-l010,b'Windows 11 Pro 22621',cybercns-sec-vm, ,microsoft-ad,sentinelone, 
cwa-loaner01,b'Windows 10 Pro 19045', , ,microsoft-ad,sentinelone, 
cwa-test2,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
cwalkey,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
cwasvr15,b'Windows Server 2016 Standard 14393',cybercns-sec-vm, ,microsoft-ad,sentinelone, 
cwasvr16,b'Windows Server 2016 Standard 14393',cybercns-sec-vm, ,microsoft-ad,sentinelone,sophos
cwasvr25,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sophos
desktop-488q1mu,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sophos
desktop-e7nj2kf,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone, 
desktop-ua0m7b7,b'Windows 10 Home', ,huntress, , , 
lp-rsurface,b'Windows 10 Pro', ,huntress,microsoft-ad, ,sophos
lp0118-004,b'Windows 10 Pro', ,huntress,microsoft-ad, ,sophos
lp0118-005,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0120-001,b'Windows 11 Pro', ,huntress,microsoft-ad, ,sophos
lp0122-001,b'Windows 11 Pro', ,huntress,microsoft-ad, , 
lp0122-002,b'Windows 11 Pro', ,huntress,microsoft-ad, ,sophos
lp0122-003,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sophos
lp0123-001,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0123-003,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0123-007,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0123-009,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0123-011,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0123-012,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0218-002,b'Windows 10 Pro 22621', , ,microsoft-ad,sentinelone,sophos
lp0218-003,b'Windows 11 Pro', , ,microsoft-ad, ,sophos
lp0218-004,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lp0218-005,b'Windows 10 Pro 22621', ,huntress,microsoft-ad,sentinelone, 
