Asset Name,OS,cb-cloud
aazhogin-s10,b'Windows 10 x64',cb-cloud
aberube-m10,b'Windows 10 x64',cb-cloud
abrown-m,b'Windows 10 x64',cb-cloud
abrown-m2023,b'Windows 10 x64',cb-cloud
acampbell-m10,b'Windows 10 x64',cb-cloud
aclaus-m10,b'Windows 10 x64',cb-cloud
acochrane-d10,b'Windows 10 x64',cb-cloud
acochrane-m10,b'Windows 10 x64',cb-cloud
acopeland-m10,b'Windows 10 x64',cb-cloud
ademos-m2021,b'Windows 10 x64',cb-cloud
ahorton-m10,b'Windows 10 x64',cb-cloud
aianni-m10,b'Windows 10 x64',cb-cloud
aianni-s,b'Windows 10 x64',cb-cloud
akimball4-m10,b'Windows 10 x64',cb-cloud
akuiper3-m10,b'Windows 10 x64',cb-cloud
amandavr-m10,b'Windows 10 x64',cb-cloud
andrev_m10,b'Windows 10 x64',cb-cloud
aneumann-m10,b'Windows 10 x64',cb-cloud
annettet-m10,b'Windows 10 x64',cb-cloud
aplante-m10,b'Windows 10 x64',cb-cloud
aregnerus-m,b'Windows 10 x64',cb-cloud
aross-m10,b'Windows 10 x64',cb-cloud
aross2-m10,b'Windows 10 x64',cb-cloud
asmith-m,b'Windows 10 x64',cb-cloud
autopilot-lgn4y,b'Windows 10 x64',cb-cloud
autopilot-yw2d3,b'Windows 10 x64',cb-cloud
awegner-m10,b'Windows 10 x64',cb-cloud
awinger-m,b'Windows 10 x64',cb-cloud
bbellan-m10,b'Windows 10 x64',cb-cloud
bbent-m20,b'Windows 10 x64',cb-cloud
bbent2-m10,b'Windows 10 x64',cb-cloud
bblundell-m10,b'Windows 10 x64',cb-cloud
bhirst-m2021,b'Windows 10 x64',cb-cloud
bimpey-m10,b'Windows 10 x64',cb-cloud
bkooger-d10,b'Windows 10 x64',cb-cloud
bshemko-d10,b'Windows 10 x64',cb-cloud
bshemko-m10,b'Windows 10 x64',cb-cloud
btimmerman2-m10,b'Windows 10 x64',cb-cloud
bvandelden-m10,b'Windows 10 x64',cb-cloud
cal-hv,b'Windows Server 2019 x64',cb-cloud
cal-spare3-m10,b'Windows 10 x64',cb-cloud
cal2,b'Windows Server 2019 x64',cb-cloud
calgary-vd,b'Windows 10 x64',cb-cloud
calgary-vt,b'Windows 10 x64',cb-cloud
cam-comms1,b'Windows 10 x64',cb-cloud
cam-hv,b'Windows Server 2019 x64',cb-cloud
cam2,b'Windows Server 2019 x64',cb-cloud
camb-reception,b'Windows 10 x64',cb-cloud
cambreg-m10,b'Windows 10 x64',cb-cloud
cambridge-vd,b'Windows 10 x64',cb-cloud
cambridge-vd2,b'Windows 10 x64',cb-cloud
cambridge-vt,b'Windows 10 x64',cb-cloud
cambridge2-vt,b'Windows 10 x64',cb-cloud
candrews2-m10,b'Windows 10 x64',cb-cloud
carlabrink-m10,b'Windows 10 x64',cb-cloud
catvand-d10,b'Windows 10 x64',cb-cloud
cbertrand-d10,b'Windows 10 x64',cb-cloud
ccdc2,b'Windows Server 2019 x64',cb-cloud
cchuba-m10,b'Windows 10 x64',cb-cloud
cdaniel-m10,b'Windows 10 x64',cb-cloud
cderaaf-m10,b'Windows 10 x64',cb-cloud
cdrost-m,b'Windows 10 x64',cb-cloud
cgeldof-m10,b'Windows 10 x64',cb-cloud
cha2,b'Windows Server 2019 x64',cb-cloud
chatham-vd,b'Windows 10 x64',cb-cloud
chatham-vt,b'Windows 10 x64',cb-cloud
chaugan-m2,b'Windows 10 x64',cb-cloud
cherrod-m,b'Windows 10 x64',cb-cloud
cherrod-s10,b'Windows 10 x64',cb-cloud
chrisg-m,b'Windows 10 x64',cb-cloud
clac-apache-int,b'Windows Server 2019 x64',cb-cloud
clac-appassure,b'Windows Server 2019 x64',cb-cloud
clac-azure,b'Windows Server 2019 x64',cb-cloud
clac-bc-tst,b'Windows Server 2019 x64',cb-cloud
clac-ccir,b'Windows Server 2016 x64',cb-cloud
clac-college,b'Windows Server 2016 x64',cb-cloud
clac-cura,b'Server 2012 R2 x64',cb-cloud
clac-dc,b'Windows Server 2019 x64',cb-cloud
clac-exch,b'Windows Server 2016 x64',cb-cloud
clac-fs2,b'Windows Server 2019 x64',cb-cloud
clac-iis,b'Windows Server 2016 x64',cb-cloud
clac-iis-int,b'Windows Server 2019 x64',cb-cloud
clac-mdt,b'Windows Server 2019 x64',cb-cloud
clac-nav,b'Windows Server 2016 x64',cb-cloud
clac-noahvm,b'Windows 10 x64',cb-cloud
clac-oaisys,b'Server 2012 R2 x64',cb-cloud
clac-rdg,b'Windows Server 2019 x64',cb-cloud
clac-rodc,b'Windows Server 2019 x64',cb-cloud
clac-spare-vt,b'Windows 10 x64',cb-cloud
clac-sql-dev,b'Windows Server 2019 x64',cb-cloud
clac-sqlext,b'Windows Server 2019 x64',cb-cloud
clac-sqlint,b'Windows Server 2019 x64',cb-cloud
clac-ts,b'Windows Server 2019 x64',cb-cloud
clac-ts2,b'Windows Server 2019 x64',cb-cloud
clac-unifi,b'Windows Server 2016 x64',cb-cloud
clac-update,b'Windows Server 2019 x64',cb-cloud
clac-uw-sql12,b'Windows Server 2019 x64',cb-cloud
clac-uwr,b'Windows Server 2019 x64',cb-cloud
clac-wac,b'Windows 10 x64',cb-cloud
clarkj-m10,b'Windows 10 x64',cb-cloud
cliu-m,b'Windows 10 x64',cb-cloud
cmilne01-m10,b'Windows 10 x64',cb-cloud
cmomplaisir-m10,b'Windows 10 x64',cb-cloud
commspare82022,b'Windows 10 x64',cb-cloud
cquirk-d10,b'Windows 10 x64',cb-cloud
craffray-d10,b'Windows 10 x64',cb-cloud
crystalv-m10,b'Windows 10 x64',cb-cloud
csandercock-m10,b'Windows 10 x64',cb-cloud
cshelvock-d2021,b'Windows 10 x64',cb-cloud
cvankough-d10,b'Windows 10 x64',cb-cloud
cvincent-m10,b'Windows 10 x64',cb-cloud
cwarkentin-d10,b'Windows 10 x64',cb-cloud
dabowen-m10,b'Windows 10 x64',cb-cloud
daniellee-m10,b'Windows 10 x64',cb-cloud
dantonides-m21,b'Windows 10 x64',cb-cloud
danvan-m,b'Windows 10 x64',cb-cloud
datkins_m,b'Windows 10 x64',cb-cloud
daveduncan-d10,b'Windows 10 x64',cb-cloud
davev-m,b'Windows 10 x64',cb-cloud
ddeweerd-d2020,b'Windows 10 x64',cb-cloud
ddeweerd-m10,b'Windows 10 x64',cb-cloud
ddezoete-mdm,b'Windows 10 x64',cb-cloud
ddezoete_p5760,b'Windows 10 x64',cb-cloud
ddykstra-m10,b'Windows 10 x64',cb-cloud
de-edm-v10,b'Windows 10 x86',cb-cloud
de-gri-v10,b'Windows 10 x86',cb-cloud
de-lan-v10,b'Windows 10 x86',cb-cloud
dejongs-m10,b'Windows 10 x64',cb-cloud
derkau-m20,b'Windows 10 x64',cb-cloud
desktop-bnaluag,b'Windows 10 x64',cb-cloud
dgough-m10,b'Windows 10 x64',cb-cloud
dgrant-m10,b'Windows 10 x64',cb-cloud
dhope2-m10,b'Windows 10 x64',cb-cloud
dhouston-m10,b'Windows 10 x64',cb-cloud
dianbrown-d10,b'Windows 10 x64',cb-cloud
djordan-m10,b'Windows 10 x64',cb-cloud
dkenis-m10,b'Windows 10 x64',cb-cloud
dlavoie-m,b'Windows 10 x64',cb-cloud
dlyons-m10,b'Windows 10 x64',cb-cloud
dmundy-m10,b'Windows 10 x64',cb-cloud
doenema-m10,b'Windows 10 x64',cb-cloud
doumat-m10,b'Windows 10 x64',cb-cloud
dperrin-m10,b'Windows 10 x64',cb-cloud
dschutten-m10,b'Windows 10 x64',cb-cloud
dsears-d10,b'Windows 10 x64',cb-cloud
dsimpson-m10,b'Windows 10 x64',cb-cloud
dstraughan-m10,b'Windows 10 x64',cb-cloud
dtrude2-m10,b'Windows 10 x64',cb-cloud
dvanderheide-m,b'Windows 10 x64',cb-cloud
dzwaan-d10,b'Windows 10 x64',cb-cloud
ebryksa-m10,b'Windows 10 x64',cb-cloud
eddenning-m,b'Windows 10 x64',cb-cloud
edebruyn,b'Windows 10 x64',cb-cloud
edening-m10,b'Windows 10 x64',cb-cloud
edm-das,b'Windows Server 2019 x64',cb-cloud
edm-ecc,b'Windows Server 2019 x64',cb-cloud
edm-hv,b'Windows Server 2019 x64',cb-cloud
edm-security,b'Windows 10 x64',cb-cloud
edm2,b'Windows Server 2019 x64',cb-cloud
edmjobs-d,b'Windows 10 x64',cb-cloud
edmonton-vd,b'Windows 10 x64',cb-cloud
edmonton-vt,b'Windows 10 x64',cb-cloud
edmonton-vt2,b'Windows 10 x64',cb-cloud
edmonton2-vd,b'Windows 10 x64',cb-cloud
edmregsp,b'Windows 10 x64',cb-cloud
edmspare3-m10,b'Windows 10 x64',cb-cloud
eglover-m10,b'Windows 10 x64',cb-cloud
ehamel-d10,b'Windows 10 x64',cb-cloud
ejoseph-m10,b'Windows 10 x64',cb-cloud
ellentoews-m10,b'Windows 10 x64',cb-cloud
emckinnon-d10,b'Windows 10 x64',cb-cloud
emckinnon2-m10,b'Windows 10 x64',cb-cloud
emital-m10,b'Windows 10 x64',cb-cloud
ened-m10,b'Windows 10 x64',cb-cloud
epepping-m10,b'Windows 10 x64',cb-cloud
ericacostin-m10,b'Windows 10 x64',cb-cloud
eschultz-m10,b'Windows 10 x64',cb-cloud
fbodewitz-d10,b'Windows 10 x64',cb-cloud
fmm-hv,b'Windows Server 2019 x64',cb-cloud
fmm-vt,b'Windows 10 x64',cb-cloud
fmm2,b'Windows Server 2019 x64',cb-cloud
fmmfrontdesk,b'Windows 10 x64',cb-cloud
fmmspare1-m10,b'Windows 10 x64',cb-cloud
fmmspare2-m10,b'Windows 10 x64',cb-cloud
fmmspare3,b'Windows 10 x64',cb-cloud
fortmcmurray-vd,b'Windows 10 x64',cb-cloud
fsj-vd,b'Windows 10 x64',cb-cloud
fsj-vt,b'Windows 10 x64',cb-cloud
fsj2,b'Windows Server 2019 x64',cb-cloud
fsjspare-m10,b'Windows 10 x64',cb-cloud
geoffdt-m10,b'Windows 10 x64',cb-cloud
gerdeym-d10,b'Windows 10 x64',cb-cloud
geymundson-m10,b'Windows 10 x64',cb-cloud
giesbrecht-m10,b'Windows 10 x64',cb-cloud
glieuwen-m,b'Windows 11 x64',cb-cloud
glieuwen-m10,b'Windows 10 x64',cb-cloud
gmartins-d10,b'Windows 10 x64',cb-cloud
gmartins2-d10,b'Windows 10 x64',cb-cloud
gmulvey-m10,b'Windows 10 x64',cb-cloud
gocoin-m,b'Windows 10 x64',cb-cloud
gri-hv,b'Windows Server 2019 x64',cb-cloud
gri2,b'Windows Server 2019 x64',cb-cloud
grimsby-vd,b'Windows 10 x64',cb-cloud
grimsby-vt,b'Windows 10 x64',cb-cloud
grirecept-d10,b'Windows 10 x64',cb-cloud
griscan-d2020,b'Windows 10 x64',cb-cloud
grispare-d10,b'Windows 10 x64',cb-cloud
grispare2-d10,b'Windows 10 x64',cb-cloud
grispare4-m10,b'Windows 10 x64',cb-cloud
gstar-m10,b'Windows 10 x64',cb-cloud
haanstraj2-m10,b'Windows 10 x64',cb-cloud
harriss-m10,b'Windows 10 x64',cb-cloud
hbannister-m10,b'Windows 10 x64',cb-cloud
hgonnet-d10,b'Windows 10 x64',cb-cloud
hlatta-m10,b'Windows 10 x64',cb-cloud
hmalcolm-d10,b'Windows 10 x64',cb-cloud
holfarrell-m10,b'Windows 10 x64',cb-cloud
hspencer-d10,b'Windows 10 x64',cb-cloud
hspencer-m2021,b'Windows 10 x64',cb-cloud
hv-server,b'Windows Server 2019 x64',cb-cloud
idewaard-m10,b'Windows 10 x64',cb-cloud
ifarrell3-m10,b'Windows 10 x64',cb-cloud
ihuygen-m10,b'Windows 10 x64',cb-cloud
instrontrain2-m,b'Windows 10 x64',cb-cloud
janicev_m10,b'Windows 10 x64',cb-cloud
jbueckert-m10,b'Windows 10 x64',cb-cloud
jcaithcart-m,b'Windows 10 x64',cb-cloud
jclarke-d10,b'Windows 10 x64',cb-cloud
jdalkema-m19,b'Windows 10 x64',cb-cloud
jdejager2-m10,b'Windows 10 x64',cb-cloud
jdoornbos-m10,b'Windows 10 x64',cb-cloud
jdoornenbal-m10,b'Windows 10 x64',cb-cloud
jdrost-d10,b'Windows 10 x64',cb-cloud
jencupido-m,b'Windows 10 x64',cb-cloud
jfalk-m,b'Windows 10 x64',cb-cloud
jfeffy-m10,b'Windows 10 x64',cb-cloud
jgama-m10,b'Windows 10 x64',cb-cloud
jguther-m10,b'Windows 10 x64',cb-cloud
jharms-m10,b'Windows 10 x64',cb-cloud
jheinen-m10,b'Windows 10 x64',cb-cloud
jhessam-m10,b'Windows 10 x64',cb-cloud
jhiggy-m10,b'Windows 10 x64',cb-cloud
jkellert-m10,b'Windows 10 x64',cb-cloud
jkennedy-m10,b'Windows 10 x64',cb-cloud
jkoop-d,b'Windows 10 x64',cb-cloud
jkoopman01-m10,b'Windows 10 x64',cb-cloud
jkort-d,b'Windows 10 x64',cb-cloud
jkropp-m10,b'Windows 10 x64',cb-cloud
jlove-m10,b'Windows 10 x64',cb-cloud
jmans-m10,b'Windows 10 x64',cb-cloud
jmarks-d10,b'Windows 10 x64',cb-cloud
jmeerveld-s,b'Windows 10 x64',cb-cloud
jnanda-hr-m10,b'Windows 10 x64',cb-cloud
johnt-m,b'Windows 10 x64',cb-cloud
jokhueleigb-m10,b'Windows 10 x64',cb-cloud
joostenbrin-m10,b'Windows 10 x64',cb-cloud
jparney-d10,b'Windows 10 x64',cb-cloud
jpastoor-m21,b'Windows 10 x64',cb-cloud
jsawyer-d10,b'Windows 10 x64',cb-cloud
jsawyer-m10,b'Windows 10 x64',cb-cloud
jsmith-xps-m10,b'Windows 10 x64',cb-cloud
jtompson-m10,b'Windows 10 x64',cb-cloud
julmer-m10,b'Windows 10 x64',cb-cloud
jvanderlaan-m,b'Windows 10 x64',cb-cloud
jvbolhuis-m10,b'Windows 10 x64',cb-cloud
jwade2-m10,b'Windows 10 x64',cb-cloud
kbolhuis-m10,b'Windows 10 x64',cb-cloud
kbrown-d2020,b'Windows 10 x64',cb-cloud
kbrowncomms-d,b'Windows 10 x64',cb-cloud
kcavey2-m10,b'Windows 10 x64',cb-cloud
kchudesnykova,b'Windows 10 x64',cb-cloud
kcoxworthy-d10,b'Windows 10 x64',cb-cloud
kdam-m10,b'Windows 10 x64',cb-cloud
kdublin-m10,b'Windows 10 x64',cb-cloud
kel-admin-d10,b'Windows 10 x64',cb-cloud
kel-qsteen-m10,b'Windows 10 x64',cb-cloud
kel2,b'Windows Server 2019 x64',cb-cloud
kelowna-vd,b'Windows 10 x64',cb-cloud
kgates2-m10,b'Windows 10 x64',cb-cloud
khaan-m,b'Windows 10 x64',cb-cloud
kjantzi-d10,b'Windows 10 x64',cb-cloud
kjohnson-m10,b'Windows 10 x64',cb-cloud
kkohut-s22,b'Windows 10 x64',cb-cloud
kkrahn-10d,b'Windows 10 x64',cb-cloud
kloren-d10,b'Windows 10 x64',cb-cloud
kloren-m10,b'Windows 10 x64',cb-cloud
kmarch,b'Windows 10 x64',cb-cloud
kmarch-m10,b'Windows 10 x64',cb-cloud
kmcnaughton-m10,b'Windows 10 x64',cb-cloud
