Asset Name,OS,cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sevco-net-discovery,sophos
abrichard55,b'Windows 11 Pro 22621', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
adfontenot-desk,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
amalv-surfpro,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
amalveaux-desk,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
amarkham-fz55,b'Windows 10 Pro 19044',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
armory-cf5310,b'Windows 10 Pro 19045',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
ashift-lt,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
ashift-sgt,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bahoover-cf54,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bdbernat-fz55,b'Windows 11 Pro 22000', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bdesormeaux-desk,b'Windows 10',cisco-umbrella, ,huntress, , , , 
bdrichard-cf54,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bedmaiston-spro,b'Windows 11 Pro 22621', ,cybercns-sec-vm, ,microsoft-ad,sentinelone, , 
bjdougay-cf54,b'Windows 10 Pro 19045', , , ,microsoft-ad,sentinelone, , 
bjedmaiston-desk,b'Windows 10 Pro 19045',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bjfalcon-fz55,b'Windows 10 Pro 19044', , , ,microsoft-ad,sentinelone, , 
bkguillory-fz55,b'Windows 10 Pro 19045',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
booking-center,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
booking-north,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
booking-south,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bpuckett-fz55,b'Windows 10 Pro 19044',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
brand-surfpro,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
brandolph-desk10,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
brgaspard-cf54,b'Windows 10 Pro 19045', , ,huntress,microsoft-ad,sentinelone, , 
brgaspard-desk,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bshift-lt,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bshift-sgt,b'Windows 11 Pro 22621', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
bstevens-desk,b'Windows 10 Pro 19045',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
btread-desk,b'Windows 10 Pro 19045', ,cybercns-sec-vm, ,microsoft-ad,sentinelone, , 
btreadway-fz55,b'Windows 11 Pro 22621', , , ,microsoft-ad,sentinelone, , 
caarabie-cf54,b'Windows 10 Pro 19044',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
caldwell-desk10,b'Windows 11 Pro 22000',cisco-umbrella, ,huntress,microsoft-ad,sentinelone, , 
ccmelancon-cf54,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cetienne-desk,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
chief-sec,b'Windows 11 Pro 22621',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
civil-marsh-02,b'Windows 10 Pro', , ,huntress,microsoft-ad, , , 
ckbanks-cf54,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
clcwgwmilerec,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
clcwgwmilvs1,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
clcwwcsmilevs1,b'Windows 10 Pro 19044', ,cybercns-sec-vm, ,microsoft-ad,sentinelone, , 
clcwwpamilevs1,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
clcwwpbcmilerec,b'Windows 10 Pro 19045',cisco-umbrella, ,huntress,microsoft-ad,sentinelone, , 
clcwwpbcmilevs1,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
clcwwpbcmilevs2,b'Windows 10 Pro 19043', , ,huntress,microsoft-ad,sentinelone, , 
clcwwpdmilevs1,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cljohnson-desk10,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cljohnsurfpro,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cmlandry-desk,b'Windows 10 Pro 19045',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cmmarque-fz55,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
colcavaya,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colccognos2,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcdata,b'Windows Server\xc2\xae 2008 Standard', , ,huntress,microsoft-ad, , , 
colcdc1,b'Windows Server 2012 R2 Datacenter 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcdigsign,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcdms,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcdms1,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sevco-net-discovery, 
colcfm,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm, ,microsoft-ad,sentinelone, , 
colcfs,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcfsdept,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcfsit,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcfsmo,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcfsuser,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcftr2,b'Windows 7 Professional  7601 SP1', , ,huntress,microsoft-ad,sentinelone,sevco-net-discovery, 
colcgis,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colchach,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colchorizon,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colchorizoncs,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcinterface,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcintermapper,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcintranet,b'Windows Server 2003', , , ,microsoft-ad, , , 
colclf,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcmilestonmgt,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcncentral,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcnetwrix1,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcnetwrix2,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colco365,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcorchid1,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcorchid2,b'Windows Server 2019 Datacenter 17763', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcorchid3,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcpalo1,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sevco-net-discovery, 
colcpalo2,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
colcpdq,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcpitney,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcproofpoint,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcsearch,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
colcsghr,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colctrackit,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcuser,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
colcusermv2,b'Windows Server 2019 Datacenter 17763',cisco-umbrella, ,huntress,microsoft-ad,sentinelone,sevco-net-discovery,sophos
colcvcenter,b'unknown', ,cybercns-sec-vm, ,microsoft-ad, , , 
colcvdc1,b'Windows Server 2008 R2 Datacenter  7601 SP1', , ,huntress,microsoft-ad,sentinelone, ,sophos
colcvdc2,b'Windows Server 2012 R2 Datacenter 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcveeam1,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm, ,microsoft-ad,sentinelone, , 
colcveeam2,b'Windows Server 2019 Datacenter 17763', , , ,microsoft-ad,sentinelone, , 
colcveritas,b'Windows Server 2019 Standard 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcvertiv,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm, ,microsoft-ad,sentinelone, , 
colcwims,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, ,sophos
colcwug,b'Windows Server 2019 Datacenter 17763', ,cybercns-sec-vm, ,microsoft-ad,sentinelone, , 
colcwwlab,b'Windows Server 2012 R2 Standard 9600', , ,huntress,microsoft-ad,sentinelone, ,sophos
crudisill-cf54,b'Windows 10 Pro 19045', , , ,microsoft-ad,sentinelone, , 
cshift-lt,b'Windows 11 Pro 22621',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cshift-sgt,b'Windows 10 Pro 19045',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
csmith-cf54,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cwalker-desk,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
cwolfe-fz55,b'Windows 10 Pro 19042', , ,huntress,microsoft-ad,sentinelone, , 
cwright-desk,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone, , 
