Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,microsoft-ad-users,sentinelone
abh-2178,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-151enfield,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-azuresync,b'Windows Server 2016 Datacenter 14393',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-certauth,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-citrix-10,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-citrix-11,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-1310main,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-daniels,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-enfield,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-mnchstr1,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-putnam1,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-windsor1,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-windsor2,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dc-wmtc,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-dsc,b'Windows Server 2016 Datacenter 14393',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-esx-358idob,b'unknown', , ,microsoft-ad, , 
chr-exchange,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-insight,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-ps-windsor,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-rodc-469ctr,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad, , 
chr-rodc-bloom,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-sp01,b'Windows Server 2008 R2 Standard  7601 SP1',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-sql01,b'Windows Server 2008 R2 Standard  7601 SP1',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-utility01,b'Windows Server 2016 Datacenter 14393', ,huntress,microsoft-ad, ,sentinelone
chr-utility1,b'Windows Server 2008 R2 Enterprise  7601 SP1',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-vcenter01,b'unknown', , ,microsoft-ad, , 
chr-wds,b'Windows Server 2019 Datacenter 17763', ,huntress,microsoft-ad, ,sentinelone
chr-win-dc01,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
chr-ximaserver,b'Windows Server 2019 Datacenter 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dan-vydeo1,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt--3257,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-2082,b'Windows 10 Enterprise', ,huntress,microsoft-ad, , 
dt-2145,b'Windows 10 Enterprise 19042',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-2208,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-2745,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-2746,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-2756,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-2760,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-2763,b'Windows 10 Pro', , ,microsoft-ad, , 
dt-3081,b'Windows 10 Business 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3208,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3220,b'Windows 10 Business 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3223,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3229,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3234,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3238,b'Windows 10 Enterprise 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3240,b'Windows 10 Enterprise', , ,microsoft-ad, , 
dt-3244,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3246,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3248,b'Windows 10 Business 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3252,b'Windows 10 Business 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3254,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3299,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3300,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3303,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3307,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3308,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3311,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3312,b'Windows 10 Pro 19043',cybercns-sec-vm, ,microsoft-ad, ,sentinelone
dt-3316,b'Windows 10 Business 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3320,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3321,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3322,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3355,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3370,b'Windows 10 Business 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3388,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3389,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3391,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3392,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3393,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3398,b'Windows 10 Business 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3399,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3401,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3402,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3403,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3404,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3405,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3476,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3477,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3479,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3480,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3482,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3483,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3484,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3485,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3495,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3624,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3841,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3875,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3876,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, , ,sentinelone
dt-3881,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3899,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3901,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3905,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3906,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3907,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3909,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3910,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3912,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3922,b'Windows 10 Pro 19043', ,huntress,microsoft-ad, ,sentinelone
dt-3924,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-3947,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3953,b'Windows 10 Pro 19045', ,huntress,microsoft-ad, ,sentinelone
dt-3961,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3964,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3973,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-3977,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4013,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4017,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4018,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4022,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4025,b'Windows 10 Enterprise', ,huntress,microsoft-ad, ,sentinelone
dt-4026,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-4112,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4126,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-4127,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4128,b'Windows 10 Enterprise', , ,microsoft-ad, , 
dt-4129,b'Windows 10 Enterprise 19044', ,huntress,microsoft-ad, ,sentinelone
dt-4130,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-4132,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4133,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-4134,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4135,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4136,b'Windows 10 Business 19044', ,huntress,microsoft-ad, ,sentinelone
dt-4138,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
dt-4139,b'Windows 10 Pro 19044', ,huntress,microsoft-ad, ,sentinelone
dt-4140,b'Windows 10 Enterprise 19044',cybercns-sec-vm, ,microsoft-ad, ,sentinelone
