Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad
al-2c5zhl3,b'Windows 10 Pro', , ,microsoft-ad
al-c9gng63,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-15q1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-26t1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-2lfg3q3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-2vy1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-45y2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-50z1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-60y2ml3,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ar-6wy2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-7ty1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-7xy1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-8kfg3q3,b'Windows 10 Pro', , ,microsoft-ad
ar-8ry1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-90t1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-9412ml3,b'Windows 10 Pro', , ,microsoft-ad
ar-9qjg3q3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-9rjg3q3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-b2y2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-c4q1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-ct31ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-cvy2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-dq02ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-g34b8h2,b'Windows 10 Pro', , ,microsoft-ad
ar-g7z1ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-gdx2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar-hwy2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
ar_call_record,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
callrecord,b'Windows Server 2012 R2 Standard', ,huntress, 
ccb-automation,b'Windows Server 2012 R2 Standard',cybercns-sec-vm, ,microsoft-ad
ccb-dc7,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
ccb-dc8,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
ccb-files,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
ccb-ftp,b'Windows 10 Pro',cybercns-sec-vm, ,microsoft-ad
ccb-om-2019,b'Windows Server 2019 Standard', , ,microsoft-ad
ccb-papercut,b'Windows Server 2012 R2 Standard', , ,microsoft-ad
ccb-rds-lic,b'VMware ESXi 7.0.3',cybercns-sec-vm, ,microsoft-ad
ccb-sec,b'Windows Server 2012 R2 Standard', , ,microsoft-ad
ccb-sql,b'Windows Server 2012 R2 Standard',cybercns-sec-vm, ,microsoft-ad
ccb-user,b'Windows Server 2012 R2 Standard',cybercns-sec-vm,huntress,microsoft-ad
ccb2,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-dc9,b'Windows Server 2019 Standard', ,huntress,microsoft-ad
cl-maas360,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-rdp-lic,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts1019,b'Windows Server 2019 Standard',cybercns-sec-vm, ,microsoft-ad
cl-ts1119,b'Windows Server 2019 Standard', , ,microsoft-ad
cl-ts119,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts1219,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts1319,b'Windows Server 2019 Standard', ,huntress,microsoft-ad
cl-ts1419,b'Windows Server 2019 Standard', ,huntress,microsoft-ad
cl-ts219,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts319,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts419,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts519,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts619,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts719,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts819,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-ts919,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
cl-zerto,b'Windows Server 2019 Standard',cybercns-sec-vm, ,microsoft-ad
cl_dashboard,b'Windows Server 2012 R2 Standard',cybercns-sec-vm,huntress,microsoft-ad
cls-imaster,b'Windows Server 2012 R2 Standard',cybercns-sec-vm,huntress,microsoft-ad
dal-callrecord,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
dal-jvy2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
dal-mj0eebv0,b'Windows 10 Pro', ,huntress,microsoft-ad
desktop-8iqvu4b,b'Windows 10 Pro', ,huntress,microsoft-ad
esx10,b'VMware ESXi 7.0.3',cybercns-sec-vm, , 
esx5,b'VMware ESXi 7.0.3',cybercns-sec-vm, , 
hou-19fc2n3,b'Windows 10 Pro', , ,microsoft-ad
hou-1jjgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-3cjgjl3,b'Windows 10 Pro', , ,microsoft-ad
hou-3fbc2n3,b'Windows 10 Pro', , ,microsoft-ad
hou-41pgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-52pgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-59fc2n3,b'Windows 10 Pro', , ,microsoft-ad
hou-6bfc2n3,b'Windows 10 Pro', , ,microsoft-ad
hou-88fc2n3,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
hou-8bfc2n3,b'Windows 10 Pro', , ,microsoft-ad
hou-8jjgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-9kjgl3,b'Windows 10 Pro', , ,microsoft-ad
hou-bfjgjl3,b'Windows 11 Pro', ,huntress,microsoft-ad
hou-ckjgjl3,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
hou-djjgjl3,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
hou-dkjgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-fdjgjl3,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
hou-fhjgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-hdjgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-hjjgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-hkjgjl3,b'Windows 10 Pro', , ,microsoft-ad
hou-j4pgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
hou-j8fc2n3,b'Windows 10 Pro', , ,microsoft-ad
hou-jkjgjl3,b'Windows 11 Pro', ,huntress,microsoft-ad
hou-st3ljgjl3,b'Windows 10 Pro', ,huntress,microsoft-ad
massena-vdi,b'Windows 10 Pro', ,huntress,microsoft-ad
nascls,b'VMware ESXi 7.0.3',cybercns-sec-vm, , 
newhoustoncr,b'Windows Server 2019 Standard',cybercns-sec-vm, ,microsoft-ad
nola-110nzbx0,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-12l58h2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-145zhl3,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-19w4nh2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-1q9s7h2,b'Windows 10 Pro', , ,microsoft-ad
nola-1stfn83,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-1zy2ml3,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-29p68h2,b'Windows 10 Pro', , ,microsoft-ad
nola-2dl0613,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
nola-2q4dyj2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-2ql9yj2,b'Windows 10 Pro', , ,microsoft-ad
nola-2qs8yj2,b'Windows 10 Pro', , ,microsoft-ad
nola-2yvs7h2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-35n4jk2,b'Windows 10 Pro', , ,microsoft-ad
nola-35p3jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-3672jk2,b'Windows 10 Pro', , ,microsoft-ad
nola-3753jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-3783jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-37r4jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-3984jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39b4jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39b5jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39c4jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39h3jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39j4jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39l3jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39n3jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39p4jk2,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
nola-39r3jk2,b'Windows 10 Pro', , ,microsoft-ad
nola-39s4jk2,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-39x4jk2,b'Windows 10 Pro', , ,microsoft-ad
nola-3nclrr2,b'Windows 10 Pro', , ,microsoft-ad
nola-3x15nh2,b'Windows 10 Pro', , ,microsoft-ad
nola-5bfc2n3,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-5kpm463,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-5lqm463,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-5mv61b3,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-6fy58h2,b'Windows 10 Pro', , ,microsoft-ad
nola-6s178h2,b'Windows 10 Pro', , ,microsoft-ad
nola-6vp6pn2,b'Windows 10 Pro', , ,microsoft-ad
nola-7dlng63,b'Windows 10 Pro', ,huntress,microsoft-ad
nola-7v098h2,b'Windows 10 Pro', , ,microsoft-ad
