Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad
accubidserv1,b'Windows Server 2016 Standard', ,huntress,microsoft-ad
aut-agouda,b'Windows 10 Pro', ,huntress,microsoft-ad
aut-astacy,b'Windows 10 Pro', ,huntress,microsoft-ad
aut-jromano,b'Windows 10 Pro', ,huntress,microsoft-ad
aut-rforcum,b'Windows 10 Pro', ,huntress,microsoft-ad
dcserv1,b'Windows Server 2016 Standard', ,huntress,microsoft-ad
dcserv2,b'Windows Server 2016 Standard', ,huntress,microsoft-ad
desktop-7d5fr4u,b'Windows 10 Pro', ,huntress, 
desktop-s9nhrq8,b'Windows 10 Pro', ,huntress, 
eeebms1,b'Windows Server\xc2\xae 2008 Standard', , ,microsoft-ad
eelap-ahartley,b'Windows 10 Pro', ,huntress,microsoft-ad
eelap-cleggett,b'Windows 10 Pro', ,huntress,microsoft-ad
eelap-dharris,b'Windows 10 Pro', ,huntress,microsoft-ad
eelap-ibaker1,b'Windows 10 Pro', , ,microsoft-ad
eelap-jcantrel,b'Windows 10 Pro', ,huntress,microsoft-ad
eelap-lseabury2,b'Windows 10 Pro', ,huntress,microsoft-ad
eelap-mdiebold1,b'Windows 10 Pro', ,huntress,microsoft-ad
eelap-swoods,b'Windows 10 Pro', ,huntress,microsoft-ad
eelap-twash1,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-adelgaic1,b'Windows 10 Pro for Workstations', ,huntress,microsoft-ad
eewks-ahallib1,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-asmith,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-charley4,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-frontdesk1,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-jcamp1,b'Windows 10 Business', ,huntress,microsoft-ad
eewks-jluther2,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-mstephens,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-prefabwh2,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-rglass4,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-sbaird1,b'Windows 10 Business', ,huntress,microsoft-ad
eewks-tscoggin1,b'Windows 10 Business', ,huntress,microsoft-ad
eewks-zoomroom,b'Windows 10 Pro', ,huntress,microsoft-ad
eewks-zoomroom2,b'Windows 10 Pro', ,huntress, 
eewks-zoomroom3,b'Windows 10 Pro', ,huntress, 
eewks-zoomroom4,b'Windows 10 Pro', ,huntress, 
esolu-aut-dc01,b'Windows Server 2016 Standard', ,huntress, 
esolu-az-dc01,b'Windows Server 2016 Datacenter', ,huntress,microsoft-ad
esolu-dc-05,b'Windows Server 2016 Standard', ,huntress,microsoft-ad
fileserv1,b'Windows Server 2016 Standard', ,huntress,microsoft-ad
fileserv3,b'Windows Server 2016 Standard', ,huntress,microsoft-ad
fileserv5,b'Windows Server 2016 Datacenter', ,huntress,microsoft-ad
k-harley,b'Windows XP Professional', , ,microsoft-ad
l-lat5490-00td,b'Windows 10 Pro', ,huntress, 
lap-aarifi,b'Windows 10 Pro', ,huntress,microsoft-ad
lap-abaggett,b'Windows 10 Business', ,huntress,microsoft-ad
lap-ahalliburton,b'Windows 10 Business', ,huntress,microsoft-ad
lap-akirby,b'Windows 10 Business', ,huntress,microsoft-ad
lap-amcmullen,b'Windows 10 Pro', ,huntress,microsoft-ad
lap-aoliver,b'Windows 10 Pro', ,huntress,microsoft-ad
lap-bcampbell,b'Windows 10 Pro', ,huntress,microsoft-ad
