Asset Name,OS,huntress,microsoft-ad
accpac,b'Windows Server\xc2\xae 2008 Standard', ,microsoft-ad
aharvey2013,b'Windows 7 Professional',huntress,microsoft-ad
amybuss2021,b'Windows 10 Pro',huntress,microsoft-ad
amywilcox2013,b'Windows 7 Professional',huntress,microsoft-ad
annmeans2013,b'Windows 7 Professional',huntress,microsoft-ad
bballard2013,b'Windows 10 Pro',huntress,microsoft-ad
cgilmore2013,b'Windows 7 Professional',huntress,microsoft-ad
christyb2013-pc,b'Windows 10 Pro',huntress,microsoft-ad
cmatlock2013,b'Windows 7 Professional',huntress,microsoft-ad
confroom2013,b'Windows 7 Professional',huntress,microsoft-ad
dataself,b'Windows Server 2012 R2 Standard',huntress,microsoft-ad
dcreswell2013,b'Windows 7 Professional',huntress,microsoft-ad
debheston2013,b'Windows 7 Professional',huntress,microsoft-ad
debrawilliams,b'Windows 10 Pro',huntress,microsoft-ad
desktop-hdc5mj8,b'Windows 10 Pro',huntress,microsoft-ad
desktop-pvkgu0j,b'Windows 10 Pro', ,microsoft-ad
dianecobb2013pc,b'Windows 7 Professional',huntress,microsoft-ad
dmdaniel2013,b'Windows 7 Professional',huntress,microsoft-ad
dnichols2017,b'Windows 7 Professional',huntress,microsoft-ad
docushare,b'Windows Server 2012 Standard',huntress,microsoft-ad
dsflowers2013,b'Windows 7 Professional',huntress,microsoft-ad
dwoods2013,b'Windows 7 Professional',huntress,microsoft-ad
fortier092121,b'Windows 10 Pro',huntress,microsoft-ad
fortierinc-pc,b'Windows 7 Professional',huntress,microsoft-ad
fortierwsus,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
jackbailey2013,b'Windows 7 Professional',huntress,microsoft-ad
janicedavis2013,b'Windows 7 Professional',huntress,microsoft-ad
jason2013-pc,b'Windows 7 Professional',huntress,microsoft-ad
jimmartin2013,b'Windows 7 Professional',huntress,microsoft-ad
joesexson2013,b'Windows 7 Professional',huntress,microsoft-ad
jphillips2013,b'Windows 7 Professional',huntress,microsoft-ad
justinyoung2017,b'Windows 7 Professional',huntress,microsoft-ad
jwolford2013,b'Windows 7 Professional', ,microsoft-ad
katieparker2015,b'Windows 7 Professional',huntress,microsoft-ad
kellievans2013,b'Windows 7 Professional',huntress,microsoft-ad
kellievans2019,b'Windows 10 Pro',huntress,microsoft-ad
krystalarcher20,b'Windows 10 Pro',huntress,microsoft-ad
kylahenderson22,b'Windows 10 Pro', ,microsoft-ad
lmccormack2013,b'Windows 7 Professional',huntress,microsoft-ad
mfortier2013-pc,b'Windows 10 Pro',huntress,microsoft-ad
nicolestone2013,b'Windows 7 Professional',huntress,microsoft-ad
pamhensley2017,b'Windows 7 Professional',huntress,microsoft-ad
rkennedy2013,b'Windows 7 Professional',huntress,microsoft-ad
scroy2013-pc,b'Windows 7 Professional', ,microsoft-ad
talexander2013,b'Windows 7 Professional',huntress,microsoft-ad
talexander2019,b'Windows 10 Pro',huntress,microsoft-ad
vancraig2013-pc,b'Windows 7 Professional',huntress,microsoft-ad
xeroxserver,b'Windows Server 2003', ,microsoft-ad
