Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,microsoft-ad-users,sentinelone
acc-hue,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
acc-vivian,b'Windows 10 Pro 19043',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
assist-michelle,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
desktop-0d5l6v6,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, , ,sentinelone
desktop-5lai7ho,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, , ,sentinelone
desktop-9hhdn3o,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, , ,sentinelone
desktop-adam,b'Windows 10 Pro for Workstations 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
desktop-c4p6d08,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress, , ,sentinelone
desktop-charles,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
desktop-cnlevcn,b'Windows 10 Pro 19044', , ,microsoft-ad, ,sentinelone
desktop-jo,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
desktop-mattm,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
desktop-mg,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
desktop-pt4t4t8,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, , ,sentinelone
est-brentb,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
est-casey,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad, , 
est-helenm,b'Windows 10 Pro 19045', , ,microsoft-ad, ,sentinelone
est-hm,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
est-jackie,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
est-max,b'Windows 10 Pro 19044',cybercns-sec-vm, ,microsoft-ad, ,sentinelone
est-rachel,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
est-rachelf,b'Windows 10 Pro 19045', , ,microsoft-ad, ,sentinelone
est-scott,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
est-steveg,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
est-tim,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
estim-blake,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
estim-fernando,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
estimating-iris,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
fg-dc2,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
fg-dc3,b'Windows Server 2019 Standard 17763', ,huntress,microsoft-ad, ,sentinelone
fg-mail,b'Windows Server 2012 R2 Standard', , ,microsoft-ad, , 
fg-ts2,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
fg-ts3,b'Windows Server 2012 R2 Standard', ,huntress,microsoft-ad, , 
fg-veeam01,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
fg-vp1,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
fleet-eli,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad, ,sentinelone
frankgrossman,b'Windows 7 Professional', , ,microsoft-ad, , 
home-kate,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, , ,sentinelone
laptop-2k6tj8ue,b'Windows 10 Home 19045',cybercns-sec-vm,huntress, , ,sentinelone
laptop-ashell,b'Windows 10 Home 19045',cybercns-sec-vm,huntress, , ,sentinelone
laptop-barbara,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, , ,sentinelone
laptop-blake,b'Windows 11 Home 22621', , , , ,sentinelone
laptop-carlos,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, , ,sentinelone
laptop-douglas,b'Windows 10 Home 19045',cybercns-sec-vm,huntress, , ,sentinelone
laptop-eugene,b'Windows 10 Home 19045',cybercns-sec-vm,huntress, , ,sentinelone
laptop-francisc,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, , ,sentinelone
laptop-jackie,b'Windows 10 Home 19044',cybercns-sec-vm,huntress, , ,sentinelone
laptop-jason,b'Windows 10 Home 19045', ,huntress, , ,sentinelone
laptop-jovani,b'Windows 11 Home 22621',cybercns-sec-vm,huntress, , ,sentinelone
