Asset Name,OS,huntress,sentinelone
amicus,b'Windows Server 2016 Standard 14393',huntress,sentinelone
hmilaw-front-23,b'Windows 10 Pro 19044',huntress,sentinelone
hmilaw-frontpc,b'Windows 7 Professional  7601 SP1',huntress,sentinelone
hmilaw-greg,b'Windows 7 Professional  7601 SP1',huntress,sentinelone
hmilaw-greg-23,b'Windows 10 Pro 19045',huntress,sentinelone
hmilaw-jeffh,b'Windows 10 Pro 19045',huntress,sentinelone
lawdsk-dana-22,b'Windows 10 Pro 19044',huntress,sentinelone
lawdsk-jwagner,b'Windows 11 Pro 22621',huntress,sentinelone
lawhost,b'Windows Server 2016 Standard 14393',huntress,sentinelone
