Asset Name,OS,cb-cloud,cybercns-sec-vm,microsoft-ad,sentinelone
1710491253-ma01,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm, ,sentinelone
2v65z23,b'Windows 10 Pro 19044', ,cybercns-sec-vm, ,sentinelone
2v86z23,b'Windows 10 Pro 19044', ,cybercns-sec-vm, ,sentinelone
anatoliy,b'Windows 10 Home 19045', ,cybercns-sec-vm, ,sentinelone
cgd-mj0gdbz6,b'Windows 10 Enterprise 19042',cb-cloud, ,microsoft-ad,sentinelone
desktop-9q1u3bd,b'Windows 10 Pro 19045', ,cybercns-sec-vm, ,sentinelone
desktop-9q1u3bd,b'Windows 10 Pro 19044', ,cybercns-sec-vm, ,sentinelone
desktop-ghhj0is,b'Windows 10 x64',cb-cloud, , , 
desktop-hualkq8,b'Windows 10 x64',cb-cloud, , , 
desktop-ig209s1,b'Windows 10 Home 19045', ,cybercns-sec-vm, ,sentinelone
desktop-j21lb31,b'Windows 11 Home 22000', ,cybercns-sec-vm, ,sentinelone
desktop-lqqtnvo,b'Windows 11 Pro 22000', ,cybercns-sec-vm, ,sentinelone
desktop-ovst3rj,b'Windows 11 Home 22000', , , ,sentinelone
desktop-p9q4e5a,b'Windows 10 Home 19045', ,cybercns-sec-vm, ,sentinelone
desktop-r0hd832,b'Windows 10 Pro 19041', ,cybercns-sec-vm, ,sentinelone
desktop-u2444kb,b'Windows 10 x64',cb-cloud, , , 
desktop-u76h5er,b'Windows 10 x64',cb-cloud, , , 
desktop-uce9ruu,b'Windows 11 Pro 22621', ,cybercns-sec-vm,microsoft-ad,sentinelone
desktop-uq9e7n7,b'Windows 10 Pro 19045', , , ,sentinelone
desktop-uq9e7n7,b'Windows 10 Pro 19045', , , ,sentinelone
emsusr2-pc,b'Windows 10 x64',cb-cloud, , , 
emsusr9-pc,b'Windows 10 x64',cb-cloud, , , 
esc-3,b'Windows 10 x64',cb-cloud, , , 
escusr21-pc,b'Windows 11 x64',cb-cloud, , , 
essbmamag,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,microsoft-ad,sentinelone
gg1-juve,b'Windows 10 Pro 19045', ,cybercns-sec-vm, ,sentinelone
heathers-macbook-pro,b'OS X 13.3.1 (22E261)', , , ,sentinelone
hops-bayonne-peggy,b'Windows 10 x64',cb-cloud, , , 
hrh-ablum-l01,b'Windows 10 Pro 19045', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-bill-w229,b'Windows 10 Pro 19044', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-bill-w230,b'Windows 10 Pro 19044', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-cfo-w01,b'Windows 10 Enterprise 2016 LTSB 14393', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-cno-201,b'Windows 10 Enterprise 2016 LTSB 14393', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-doc-w01,b'Windows 10 Enterprise 2016 LTSB 14393', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-him-lp02,b'Windows 10 Enterprise 19045', ,cybercns-sec-vm, ,sentinelone
hrh-hmorales,b'Windows 10 Pro 19045', , , ,sentinelone
hrh-hr-w01,b'Windows 10 Pro 19045', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-it-lp0001,b'Windows 10 Pro 19044', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-it-w001,b'Windows 10 Enterprise 2016 LTSB 14393',cb-cloud,cybercns-sec-vm, ,sentinelone
hrh-jbadillo,b'Windows 10 Pro 19045', , , ,sentinelone
hrh-pharm-w01,b'Windows 10 Enterprise 2016 LTSB 14393', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-rgarcia,b'Windows 10 Pro 19045', , , ,sentinelone
hrh-selbaqali,b'Windows 10 Pro 19044', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh-sleep-w01,b'Windows 10 Pro 19044', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrh3m,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,microsoft-ad,sentinelone
hrhabsplus01,b'Windows 10 Enterprise 2016 LTSB 14393', , , ,sentinelone
