Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad
5490-12,b'Windows 10 Pro', ,huntress, 
977cdc43-795b-47c3-b441-d4426b201908,b'Microsoft Windows 10 Enterprise',cybercns-sec-vm, , 
agg-aporter5410,b'Windows 10 Pro', ,huntress, 
agg-arhyner5470,b'Windows 10 Pro', ,huntress, 
agg-cjordan,b'Windows 10 Pro', ,huntress, 
agg-nicoleh5490,b'Windows 11 Pro', ,huntress, 
agg-pradford,b'Windows 10 Pro', ,huntress, 
agg-rhyner5490,b'Windows 10 Pro', ,huntress, 
agg-tinaz,b'Windows 10 Pro', ,huntress, 
aws-powerbi,b'Windows Server 2022 Datacenter',cybercns-sec-vm,huntress, 
blackburnxps13,b'Windows 10 Pro', ,huntress, 
chandras10-pc,b'Windows 11 Pro', ,huntress, 
cnt-ci01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-dev-web01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-eo01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-mssql01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-ovlp01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-qa-web01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-rtn01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-stg-eo01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-stg-mssql01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-stg-ovlp01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-stg-web01,b'Windows Server 2019 Datacenter', ,huntress, 
cnt-web01,b'Windows Server 2019 Datacenter', ,huntress, 
desktop-5ckme2d,b'Windows 10 Pro', ,huntress, 
desktop-5mjg5cq,b'Windows 10 Pro', ,huntress, 
desktop-apb5bqe,b'Windows 10 Home', ,huntress, 
desktop-cneigj7,b'Windows 11 Home Single Language', ,huntress, 
desktop-doncmlv,b'Microsoft Windows 11 Pro',cybercns-sec-vm,huntress, 
desktop-dr3tkdj,b'Microsoft Windows 10 Home',cybercns-sec-vm,huntress, 
desktop-i05b6nn,b'Windows 10 Pro', ,huntress, 
desktop-lce5680,b'Microsoft Windows 11 Pro',cybercns-sec-vm, , 
desktop-m0df2rd,b'Windows 11 Pro', ,huntress, 
desktop-opp7h1t,b'Windows 11 Home Single Language', ,huntress, 
desktop-qa9j5b4,b'Windows 10 Pro',cybercns-sec-vm,huntress, 
desktop-qmob1vb,b'Windows 11 Home', ,huntress, 
desktop-rrv34qh,b'Windows 10 Pro', ,huntress, 
desktop-s0p8rjd,b'Windows 10 Pro', ,huntress, 
desktop-sdsv8d3,b'Windows 11 Home',cybercns-sec-vm,huntress, 
desktop-tthabkc,b'Windows 10 Pro', ,huntress, 
esri,b'Windows 10 Pro', ,huntress, 
gnk-backup,b'Microsoft Windows Storage Server 2012 R2 Standard',cybercns-sec-vm,huntress, 
gnk-filesrv,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress, 
gnk-kslack,b'Windows 10 Pro',cybercns-sec-vm,huntress, 
gnk-logi2016,b'Microsoft Windows Server 2016 Standard',cybercns-sec-vm,huntress, 
gnk-max2012,b'Microsoft Windows Server 2019 Standard',cybercns-sec-vm,huntress, 
gnk-max2021,b'Microsoft Windows Server 2019 Standard',cybercns-sec-vm,huntress, 
gnk-serverroom,b'Microsoft Windows 10 Pro',cybercns-sec-vm,huntress, 
gnk-sftp,b'Microsoft Windows Server 2012 Standard',cybercns-sec-vm,huntress, 
home-aarancio,b'Windows 11 Pro', ,huntress, 
home-abullaro,b'Microsoft Windows 10 Pro',cybercns-sec-vm, , 
home-afana,b'Windows 11 Pro', ,huntress, 
home-afurst9315,b'Microsoft Windows 11 Pro',cybercns-sec-vm,huntress, 
home-alee9315,b'Windows 11 Pro',cybercns-sec-vm,huntress, 
home-alexr9315,b'Windows 11 Pro', ,huntress, 
home-anitaxps15,b'Windows 10 Pro', ,huntress, 
home-aoconnor3430,b'Windows 10 Pro', ,huntress, 
home-aoconnor5140,b'Windows 10 Pro', ,huntress, 
home-areeder,b'Windows 11 Home', ,huntress, 
home-arif,b'Windows 10 Pro', ,huntress, 
home-arolon,b'Windows 10 Pro', ,huntress, 
home-atykhomyrova,b'Windows 11 Home', ,huntress, 
home-awhitcomb,b'Windows 10 Pro', ,huntress, 
home-barash,b'Windows 10 Pro', ,huntress, 
home-bauch,b'Windows 10 Pro',cybercns-sec-vm,huntress, 
home-bbice,b'Windows 11 Pro', ,huntress, 
home-bbot,b'Windows 10 Pro', ,huntress, 
home-breeder,b'Windows 10 Home', ,huntress, 
home-cbarnes,b'Windows 11 Pro', ,huntress, 
home-chatcher,b'Windows 10 Pro', ,huntress, 
home-colatorti7080,b'Windows 10 Pro', ,huntress, 
home-csample,b'Windows 11 Pro', ,huntress, 
home-danderson,b'Windows 11 Pro', ,huntress, 
home-dbiles,b'Windows 11 Pro', ,huntress, 
home-dchristy,b'Windows 10 Pro', ,huntress, 
home-dmunson,b'Windows 11 Home', ,huntress, 
home-dpeterson,b'Windows 11 Home', ,huntress, 
home-dsaba5410,b'Windows 10 Pro', ,huntress, 
home-dsanders,b'Windows 10 Pro', ,huntress, 
home-dsilverman3420,b'Windows 10 Pro', ,huntress, 
home-ebryant,b'Windows 11 Home', ,huntress, 
home-emanley20,b'Windows 11 Pro',cybercns-sec-vm,huntress, 
home-ewoghiren,b'Windows 11 Pro', ,huntress, 
home-floom3420,b'Windows 10 Pro', ,huntress, 
home-furst3431,b'Microsoft Windows 11 Pro',cybercns-sec-vm,huntress, 
home-gmachado,b'Windows 10 Pro',cybercns-sec-vm,huntress, 
home-gmachado34,b'Windows 11 Pro', ,huntress, 
home-iwrate,b'Windows 11 Pro', ,huntress, 
home-janety,b'Windows 10 Pro', ,huntress, 
home-jcismesia,b'Windows 11 Home', ,huntress, 
home-jclark,b'Windows 11 Home', ,huntress, 
home-jfritts5490,b'Windows 10 Pro', ,huntress, 
home-jhall,b'Windows 11 Home', ,huntress, 
home-jhendrick,b'Windows 10 Pro', ,huntress, 
home-jisbell,b'Windows 11 Pro', ,huntress, 
home-jjohnson,b'Windows 11 Home', ,huntress, 
home-jmorris,b'Windows 11 Home', ,huntress, 
home-jricexps13,b'Windows 10 Pro',cybercns-sec-vm,huntress, 
home-jshears,b'Windows 11 Home', ,huntress, 
home-jtippetts,b'Windows 11 Pro', ,huntress, 
home-kbissell,b'Windows 11 Home', ,huntress, 
home-kprata,b'Windows 10 Pro', ,huntress, 
home-kvaughan,b'Windows 11 Pro', ,huntress, 
home-lbauch5450,b'Windows 10 Pro', ,huntress, 
home-lbfiner,b'Windows 10 Pro', ,huntress, 
home-lklein,b'Windows 10 Pro', ,huntress, 
home-lrichardson,b'Windows 11 Home', ,huntress, 
home-malone,b'Windows 10 Pro', ,huntress, 
home-marybeth7080,b'Windows 10 Pro', ,huntress, 
home-marzo,b'Microsoft Windows 10 Pro',cybercns-sec-vm,huntress, 
home-mb7080,b'Windows 10 Pro', ,huntress, 
home-mcollom5490,b'Windows 10 Pro',cybercns-sec-vm,huntress, 
home-mdilmore,b'Windows 11 Pro', ,huntress, 
home-mewin10,b'Windows 10 Pro', ,huntress, 
home-minfranco,b'Microsoft Windows 10 Pro',cybercns-sec-vm,huntress, 
home-mkines5420,b'Windows 11 Pro', ,huntress, 
home-mlovos-5410,b'Windows 10 Pro', ,huntress, 
home-mpessemier,b'Windows 10 Pro', ,huntress, 
home-mpritchard,b'Windows 11 Home', ,huntress, 
home-msorensen,b'Windows 10 Home', ,huntress, 
home-nbridge,b'Windows 11 Pro', ,huntress, 
home-npitsis5410,b'Windows 11 Pro', ,huntress, 
home-nsaurey,b'Windows 11 Home', ,huntress, 
home-ouvaydora,b'Windows 10 Pro', ,huntress, 
home-pollendorff,b'Windows 10 Pro', ,huntress, 
home-raltun,b'Windows 10 Pro',cybercns-sec-vm,huntress, 
home-rcarroll,b'Windows 11 Pro', ,huntress, 
home-rdickson,b'Windows 10 Pro', ,huntress, 
home-rjames,b'Windows 11 Pro', ,huntress, 
home-rmarzo3431,b'Windows 11 Pro', ,huntress, 
home-rneumann,b'Windows 11 Pro', ,huntress, 
home-sbanon,b'Windows 10 Pro', ,huntress, 
home-silverman,b'Windows 10 Pro', ,huntress, 
home-slayne,b'Windows 10 Pro', ,huntress, 
