Asset Name,OS,cisco-umbrella,huntress,sentinelone
906nw,b'Windows 10 Pro', ,huntress, 
ab102,b'Windows 11 Pro 22621',cisco-umbrella,huntress,sentinelone
ab104pc,b'Windows 10 Pro', ,huntress, 
boardroom,b'Windows 10 Pro', ,huntress, 
boardroom2,b'Windows 11 Pro for Workstations 22621', ,huntress,sentinelone
bodyshop-w10,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
carrie-pc,b'Windows 10',cisco-umbrella, , 
casssandrab,b'Windows 11 Pro 22621', ,huntress,sentinelone
cmm-w10,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
cnc,b'Windows 11 Pro', ,huntress, 
crane,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
desktop-bp84rmd,b'Windows 10 Pro 19045', ,huntress,sentinelone
desktop-seeim0g,b'Windows 10 Pro 19045', ,huntress,sentinelone
electricianw10,b'Windows 10 Pro 19045', ,huntress,sentinelone
hrmanager4,b'Windows 11 Pro', ,huntress, 
jamespc,b'Windows 10 Pro 19044',cisco-umbrella,huntress,sentinelone
karenpc,b'Windows 11 Pro 22621', ,huntress,sentinelone
kathypc,b'Windows 10 Pro 19045', ,huntress,sentinelone
kathypc-new,b'Windows 11 Pro 22621', ,huntress,sentinelone
kellyg-pc,b'Windows 10 Pro 19044', ,huntress,sentinelone
mjay-home,b'Windows 10 Pro', ,huntress, 
nancypc,b'Windows 10 Pro 19044', , ,sentinelone
oilpan-w10,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
peterbpc,b'Windows 10 Pro 19045', ,huntress,sentinelone
peterdyck,b'Windows 10 Pro 19044', ,huntress,sentinelone
press-2,b'Windows 10 Pro 19044',cisco-umbrella,huntress,sentinelone
press3,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
press4,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
project-mgr,b'Windows 11 Pro', ,huntress, 
quality,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
qualityassistan,b'Windows 11 Pro 22621', ,huntress,sentinelone
qualityksl,b'Windows 10 Pro 19044', ,huntress,sentinelone
remotesvr,b'Windows Server 2016 Standard 14393',cisco-umbrella,huntress,sentinelone
rosy-new,b'Windows 11 Pro 22621', ,huntress,sentinelone
serverdc,b'Windows Server 2016 Standard 14393', ,huntress,sentinelone
sevastianoffice,b'Windows 11 Pro', ,huntress, 
ship,b'Windows 10 Pro 19044',cisco-umbrella,huntress,sentinelone
shopedge,b'Windows Server 2019 Standard 17763', ,huntress,sentinelone
supervisor1,b'Windows 10 Pro 19044',cisco-umbrella,huntress,sentinelone
supervisor3,b'Windows 10 Pro 19044',cisco-umbrella,huntress,sentinelone
tech-pc,b'Windows 10 Pro 19044', ,huntress,sentinelone
technician-pc,b'Windows 10 Pro 19045', , ,sentinelone
timeclockw10,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
toolmgrpc,b'Windows 10 Pro', ,huntress, 
toolroom-upst,b'Windows 10 Pro 19044', , ,sentinelone
toolshop-inventory,b'Windows 10 Pro', ,huntress, 
williampc,b'Windows 10 Pro 19045',cisco-umbrella,huntress,sentinelone
