Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone,sentinelone-ranger
accountingsrvr,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
actingapwkstn,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone, 
adaminofis,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
airwatch,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
alextrujillo,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone, 
andesu,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone, 
andreprice,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone, 
andyestradadell,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone, 
anuoli,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
application,b'Windows Server 2012 R2 Standard 9600', ,huntress,microsoft-ad,sentinelone, 
blairbenson,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
brendafilipe,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
brianhanley,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
carljr,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
ccmffrontdesk,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
chrismingay,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
cnguyen,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
connorhiggins,b'Windows 11 Pro', ,huntress,microsoft-ad, , 
creynolds,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
darylfhp,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
davidwhitley,b'Windows 10 Pro', ,huntress,microsoft-ad, , 
dbrennane15,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
dcsrvr-2,b'Windows Server 2012 R2 Standard 9600', ,huntress,microsoft-ad,sentinelone, 
dcsrvr1,b'Windows Server 2012 R2 Standard 9600', ,huntress,microsoft-ad,sentinelone, 
donhughes,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
edmoorep15s,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
estimating,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
gerryfindlay,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
getempvleung,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone, 
getmpbeighly,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone, 
ivanmolina,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
jacklambert,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone, 
jasonclark,b'Windows 11 Pro 22621', , , ,sentinelone, 
jasonwalton,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
jenniferpayne,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
jeremyanderson,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
jimhack,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
jimtrouplenovo,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
joepetro,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
josevargas,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
jraul,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
keithoxford,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
kobetooch,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone, 
kpercy,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
laptop-umcts4g3,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress, ,sentinelone, 
leorizzo,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lizfonte,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
lucianosanchez,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
markalvarez,b'Windows 11 Pro 22000',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
markyoga,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
marvinkorsmo,b'Windows 11 Pro 22621', ,huntress,microsoft-ad,sentinelone, 
mmcddc,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
mmcstorage,b'Windows Storage Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
mmcxenapp1,b'Windows Server 2019 Standard 17763', ,huntress,microsoft-ad,sentinelone, 
mmfacad,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
p6,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
paulmoreirap15,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
richtaylorp15,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
rvanairsdale,b'Windows 10 Pro', ,huntress,microsoft-ad, , 
sherleung,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
sthao,b'Windows 10 Pro 19044', ,huntress, ,sentinelone, 
tcandelaria,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
timmello,b'Windows 10 Pro 19044', ,huntress,microsoft-ad,sentinelone, 
todmundy,b'Windows 10 Pro 19045',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
vynguyenhr,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
webserver1,b'Windows Server 2012 R2 Standard 9600', ,huntress,microsoft-ad,sentinelone, 
yizilu,b'Windows 10 Pro 19045', ,huntress,microsoft-ad,sentinelone, 
zachpr,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
zachrisley,b'Windows 11 Pro 22621',cybercns-sec-vm,huntress,microsoft-ad,sentinelone, 
