Asset Name,OS,cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
6tjvz53,b'Windows 10 Pro 19044', , ,huntress, ,sentinelone
906nw,b'Windows 10',cisco-umbrella, , , , 
ab102,b'Windows 11',cisco-umbrella, , , , 
ab104pc,b'Windows 10',cisco-umbrella, , , , 
boardroom,b'Windows 10',cisco-umbrella, , , , 
boardroom2,b'Windows 11',cisco-umbrella, , , , 
casssandrab,b'Windows 11',cisco-umbrella, , , , 
desktop-0g4g927,b'Windows 10 Home 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
desktop-7ac2ihj,b'Windows 10 Pro 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
desktop-bp84rmd,b'Windows 10',cisco-umbrella, , , , 
desktop-eccpn26,b'Windows 11 Home 22621',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
desktop-seeim0g,b'Windows 10',cisco-umbrella, , , , 
gs-smohammed-lt,b'Windows 11',cisco-umbrella, , , , 
hrmanager4,b'Windows 11',cisco-umbrella, , , , 
karenpc,b'Windows 11',cisco-umbrella, , , , 
kathypc-new,b'Windows 11',cisco-umbrella, , , , 
loanofficer-lt-03,b'Windows 10 Pro 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-31sl21p,b'Windows 10 Enterprise 19042',cisco-umbrella, ,huntress, ,sentinelone
mep-42tcnf2,b'Windows 11 Enterprise 22621',cisco-umbrella, ,huntress, ,sentinelone
mep-5d5hmt2,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-5pmgmf2,b'Windows 10 Enterprise 19042',cisco-umbrella, ,huntress,microsoft-ad,sentinelone
mep-6q2ls52,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mep-7jcjmq2,b'Windows 10 Enterprise',cisco-umbrella, ,huntress, , 
mep-82cbnv2,b'Windows 10 Enterprise 19045',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-89nt643,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mep-99nt643,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mep-amb1,b'Windows Server 2019 Standard 17763',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mep-app1,b'Windows Server 2019 Standard 17763',cisco-umbrella, ,huntress,microsoft-ad,sentinelone
mep-b289nv2,b'Windows 10 Enterprise',cisco-umbrella, ,huntress, , 
mep-c4nd0x2,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-c9zfnf2,b'Windows 10 Enterprise 19045',cisco-umbrella, ,huntress, ,sentinelone
mep-css9nv2,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-d2p8zm2,b'Windows 10 Enterprise 19045',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-dc1,b'Windows Server 2019 Standard',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad, 
mep-dc2,b'Windows Server 2019 Standard',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad, 
mep-dcyfmf2,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mep-dczbmf2,b'Windows 10 Enterprise 19042',cisco-umbrella, , ,microsoft-ad,sentinelone
mep-dtl5rv2,b'Windows 10 Enterprise 19042',cisco-umbrella, ,huntress, ,sentinelone
mep-f182z72-dt,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mep-fs1,b'Windows Server 2019 Standard',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad, 
mep-hv01,b'Windows Server 2019 Standard 17763',cisco-umbrella, ,huntress, ,sentinelone
mep-hv5hmt2,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-j2zfqv2,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-j357qv2,b'Windows 10 Pro 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-lvt440sw,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-m600amb,b'Windows 10 Pro 19042',cisco-umbrella,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mep-pc1kft6s,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pc1kft6t,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pc1kft6v,b'Windows 11 Enterprise 22000',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pc1kft6w,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pc1kft6x,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pc1n0y0l,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pc1n0y0r,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pc1n0y0x,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pc1n0y0y,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pc1n0y14,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pc2b7jv1,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pc2b7jvc,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pc2b7jvg,b'Windows 10 Enterprise 19045',cisco-umbrella, ,huntress, ,sentinelone
mep-pc2b7jvy,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pc2b7jw0,b'Windows 10 Pro 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pf190yvt,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pf191201,b'Windows 10 Enterprise 19045',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf191224,b'Windows 10 Enterprise 19043',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19125a,b'Windows 10 Enterprise 19043',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19148p,b'Windows 11 Enterprise 22000',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf1914e9,b'Windows 10 Enterprise 19045',cisco-umbrella, ,huntress, ,sentinelone
mep-pf1916vl,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf1916vz,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pf191j84,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf191mgt,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf191t5f,b'Windows 10 Enterprise 19045',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf191t7k,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pf191t8q,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf1920q4,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19239m,b'Windows 10 Enterprise 19043',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf1928xr,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19brj6,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19ekj3,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pf19emm6,b'Windows 10 Enterprise 19044',cisco-umbrella, ,huntress, ,sentinelone
mep-pf19etzd,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19eu2n,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19ey7h,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19f0cb,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19f0e4,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19f2hj,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19f4ph,b'Windows 10 Enterprise 19045',cisco-umbrella, ,huntress, ,sentinelone
mep-pf19f6r9,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19f90c,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19fb8g,b'Windows 10 Enterprise 19044',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
mep-pf19fhk5,b'Windows 10 Enterprise 19042',cisco-umbrella,cybercns-sec-vm,huntress, ,sentinelone
