Asset Name,OS,huntress,sentinelone
aacp-mistletoe,b'Windows Server 2019 Standard 17763', ,sentinelone
aacv-manage,b'Windows 10 Pro 19045',huntress,sentinelone
aacv-mystery,b'Windows Server 2019 Standard Evaluation 17763',huntress,sentinelone
accasst3,b'Windows 10 Pro 19044',huntress,sentinelone
acctserver3,b'Windows Server 2012 R2 Standard 9600',huntress,sentinelone
asstopsmanager,b'Windows 10 Pro',huntress, 
axesspc,b'Windows Server 2019 Standard Evaluation 17763',huntress,sentinelone
baseserv,b'Windows 10 Home 19045',huntress,sentinelone
bden01,b'Windows 10 Enterprise 2015 LTSB',huntress, 
bm-pc,b'Windows 10 Pro 19044',huntress,sentinelone
buildingservice,b'Windows 10 Pro 19045',huntress,sentinelone
chilliwacklake-pc,b'Windows 10 Home 19045',huntress,sentinelone
chris-laptop,b'Windows 11 Pro 22621', ,sentinelone
chriskpc,b'Windows 10 Pro 19045',huntress,sentinelone
clinic-pc,b'Windows 10 Pro',huntress, 
cultus-pc1,b'Windows 10 Home',huntress, 
cultus-pc2,b'Windows 10 Home',huntress, 
dell-schools-laptop,b'Windows 10 Pro 19045',huntress,sentinelone
dennis-pc,b'Windows 10 Home 19044',huntress,sentinelone
desktop-046u9oj,b'Windows 10 Pro Education 19044',huntress,sentinelone
desktop-0api18i,b'Windows 10 Pro',huntress, 
desktop-16vks97,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-1gs00hl,b'Windows 10 Home 19044', ,sentinelone
desktop-2226v17,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-2dj7tju,b'Windows 11 Home',huntress, 
desktop-2nce2it,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-3b1i6s1,b'Windows 10 Pro 19044', ,sentinelone
desktop-7gchbcf,b'Windows 11 Home 22000',huntress,sentinelone
desktop-c5rgtuk,b'Windows 10 Pro',huntress, 
desktop-eruucko,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-ev0t858,b'Windows 11 Pro Education',huntress, 
desktop-m2524m6,b'Windows 10 Pro 19045', ,sentinelone
desktop-mcl7b48,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-n3sbs69,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-ob36aiu,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-oj3mbgv,b'Windows 10 Home 18363', ,sentinelone
desktop-q7rnu39,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-rrdch7d,b'Windows 10 Pro 19045',huntress,sentinelone
eddiepc,b'Windows 11 Home 22621',huntress,sentinelone
enq01,b'Windows 10 Enterprise 2016 LTSB 14393',huntress,sentinelone
enq02,b'Windows 10 Enterprise 2016 LTSB 14393', ,sentinelone
enq2-pc,b'Windows 10 Pro 19044',huntress,sentinelone
events-pc,b'Windows 10 Pro 19045',huntress,sentinelone
fbasst-pc,b'Windows 10 Pro 19045',huntress,sentinelone
fbmanager-pc,b'Windows 10 Home 19045',huntress,sentinelone
fbsupervisor,b'Windows 10 Pro 19045',huntress,sentinelone
gailpc,b'Windows 10 Pro 19045',huntress,sentinelone
gatehse-pc,b'Windows 10 Pro',huntress, 
gemma-pc,b'Windows 10 Pro 19044',huntress,sentinelone
gsfc01,b'Windows 10 Pro 19045',huntress,sentinelone
gsfc02,b'Windows 10 Pro 19045',huntress,sentinelone
gsfc03,b'Windows 10 Enterprise 2015 LTSB',huntress, 
gstd01,b'Windows 10 Pro 19045', ,sentinelone
gstd02,b'Windows 10 Pro 19045',huntress,sentinelone
gstd03,b'Windows 10 Pro 19045',huntress,sentinelone
gsvm1,b'Windows 10 Pro',huntress, 
gsvm2-pc,b'Windows 10 Pro 19045',huntress,sentinelone
gsvm3-pc,b'Windows 10 Pro 19044',huntress,sentinelone
gsvm4-pc,b'Windows 10 Pro 19044',huntress,sentinelone
gsvm5-pc,b'Windows 10 Pro 19045',huntress,sentinelone
gsvm6-p,b'Windows 10 Pro 19045',huntress,sentinelone
gsvm7-pc,b'Windows 10 Pro',huntress, 
gsvm8-pc,b'Windows 10 Pro 19044',huntress,sentinelone
gsvm9,b'Windows 10 Pro',huntress, 
hp-diamondhead-nat,b'Windows 10 Pro 19045',huntress,sentinelone
hp-holleylaptop,b'Windows 10 Pro 19044',huntress,sentinelone
hp-laptop-nairn,b'Windows 10 Home 19045',huntress,sentinelone
hp-laptop-sd,b'Windows 10 Pro',huntress, 
hr-pc,b'Windows 10 Pro 19044',huntress,sentinelone
jennypc,b'Windows 10 Pro 19045',huntress,sentinelone
jurgens-pc,b'Windows 10 Pro 19044',huntress,sentinelone
laptop-aspire-oceans,b'Windows 10 Home 19044',huntress,sentinelone
laptop-retail,b'Windows 10 Pro 19045', ,sentinelone
lessoncoordinator,b'Windows 10 Pro 19045',huntress,sentinelone
liftmnt,b'Windows 10 Pro 19044', ,sentinelone
liftopsdesktop,b'Windows 10 Pro 19045',huntress,sentinelone
lrd01,b'Windows 10 Enterprise 2015 LTSB 10240',huntress,sentinelone
lrd02,b'Windows 10 Pro',huntress, 
lt-hp-electr,b'Windows 10 Pro 19044',huntress,sentinelone
middleware-1,b'Windows Server 2016 Standard Evaluation 14393',huntress,sentinelone
mikez-pc,b'Windows 10 Pro',huntress, 
nat-dell,b'Windows 11 Pro 22621',huntress,sentinelone
natalie-pc,b'Windows 10 Pro 19044',huntress,sentinelone
ocean-programs,b'Windows 11 Home 22621',huntress,sentinelone
ocean-zero,b'Windows 11 Home 22621',huntress,sentinelone
optiplex1,b'Windows 10 Pro 19044',huntress,sentinelone
