Asset Name,OS,huntress,microsoft-ad,microsoft-ad-users,sentinelone
citrix10,b'Windows Server 2008 R2 Standard  7601 SP1',huntress,microsoft-ad, ,sentinelone
ctxctl01,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad, ,sentinelone
ctxrds01,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad, ,sentinelone
ctxrds02,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad, ,sentinelone
ctxstr01,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad, ,sentinelone
dc-01,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad, ,sentinelone
dc-02,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad, ,sentinelone
dc2012,b'Windows Server 2012 Standard 9200',huntress, , ,sentinelone
dc4,b'Windows Server 2008 R2 Standard  7601 SP1',huntress,microsoft-ad, ,sentinelone
katiexps,b'Windows 11 Pro 22000',huntress, , ,sentinelone
laurienewhp,b'Windows 11 Pro 22621',huntress, , ,sentinelone
markxpsnew,b'Windows 11 Pro 22000',huntress, , ,sentinelone
oilhost,b'Windows Server 2012 Standard',huntress, , , 
oilstop-cloudrpt,b'Windows Server 2019 Standard 17763',huntress,microsoft-ad, ,sentinelone
oilstop-file01,b'Windows Server 2016 Standard 14393',huntress,microsoft-ad, ,sentinelone
oilstop-speid,b'Windows Server 2016 Standard',huntress,microsoft-ad, , 
oilstop-sql04,b'Windows Server 2012 R2 Standard 9600',huntress,microsoft-ad, ,sentinelone
petter-dell,b'Windows 10 Pro',huntress, , , 
rubit3500,b'Windows 10 Pro 19045',huntress, , ,sentinelone
win-cf6k587kg0s,b'Windows Server 2012 R2 Standard 9600',huntress, , ,sentinelone
yesicadell,b'Windows 10 Pro 19045',huntress, , ,sentinelone
