Asset Name,OS,cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
blekas-pc,b'Windows 10 Pro 18363',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
canon9b54bb,b'Linux', , , , ,sentinelone-ranger
dc01,b'Windows Server 2019 Standard 17763', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
dc02,b'Windows Server 2019 Standard 17763', , ,huntress,sentinelone,sentinelone-ranger
desktop-251588p,b'Windows 10 Pro 15063',cisco-umbrella,cybercns-sec-vm, ,sentinelone, 
desktop-cfi36st,b'Windows 10',cisco-umbrella, , , , 
desktop-j1j5rna,b'Windows 10 Pro 19042',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone, 
desktop-qlrauc8,b'Windows 10',cisco-umbrella, , , , 
desktop-spqfuk2,b'Windows 10 Pro 19042',cisco-umbrella, ,huntress,sentinelone,sentinelone-ranger
fileserver,b'Windows Server 2019 Standard 17763', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
fs,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
homepc,b'Windows 10 Home',cisco-umbrella, ,huntress, , 
laptop-6592ejh3,b'Windows 10', , , , ,sentinelone-ranger
laptop-i01s43v,b'Windows 10 Home', , ,huntress, , 
louishome-pc,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone, 
npi079889, , , , , ,sentinelone-ranger
npi0ea481, , , , , ,sentinelone-ranger
npi14e6e3, , , , , ,sentinelone-ranger
npi2d5e86, , , , , ,sentinelone-ranger
npi3928ea, , , , , ,sentinelone-ranger
npi3efbf4, , , , , ,sentinelone-ranger
npi5af2e0, , , , , ,sentinelone-ranger
npi60a084, , , , , ,sentinelone-ranger
npi691b7b,b'Linux', , , , ,sentinelone-ranger
npi6fe7b4, , , , , ,sentinelone-ranger
npi8ea2f9, , , , , ,sentinelone-ranger
npi98bf82, , , , , ,sentinelone-ranger
npibb5b93, , , , , ,sentinelone-ranger
npicfcee0, , , , , ,sentinelone-ranger
npidcfe21, , , , , ,sentinelone-ranger
npie74712,b'Linux', , , , ,sentinelone-ranger
npie7922b, , , , , ,sentinelone-ranger
operations,b'Windows 10',cisco-umbrella, , , , 
pwam-007,b'Windows 10 Pro 17134',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-034,b'Windows 10 Home 19043',cisco-umbrella, ,huntress,sentinelone,sentinelone-ranger
pwam-035,b'Windows 10 Home 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-36,b'Windows 10 Home 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-39,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-40,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-41,b'Windows 10',cisco-umbrella, ,huntress, , 
pwam-42,b'Windows 10 Pro 19043',cisco-umbrella, ,huntress,sentinelone,sentinelone-ranger
pwam-43,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-44,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-55,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-56-pc,b'Windows 10 Pro 18362',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-57-pc,b'Windows 10 Pro 10586',cisco-umbrella, ,huntress,sentinelone,sentinelone-ranger
pwam-58,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-60-pc,b'Windows 10 Pro 19043',cisco-umbrella, ,huntress,sentinelone,sentinelone-ranger
pwam-62,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-64,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-65,b'Windows 10',cisco-umbrella, , , , 
pwam-66,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-69,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-70,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-71,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-72,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm, ,sentinelone,sentinelone-ranger
pwam-73,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-74,b'Windows 10 Pro 18362',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-75,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-76,b'Windows 11 Pro 22000',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-77,b'Windows 10 Pro 19044',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-78,b'Windows 10 Pro 19043',cisco-umbrella, ,huntress,sentinelone,sentinelone-ranger
pwam-79,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-80,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-81,b'Windows 11',cisco-umbrella, ,huntress, , 
pwam-82,b'Windows 11',cisco-umbrella, ,huntress, , 
pwam-83,b'Windows 10',cisco-umbrella, , , ,sentinelone-ranger
pwam-84,b'Windows 10 Pro 19044',cisco-umbrella, ,huntress,sentinelone, 
pwam-chino1,b'Windows 10 Pro 19043',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone, 
pwam-la-lt1,b'Windows 10 Pro 19042',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-lf,b'Windows Server 2019 Standard 17763', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-lf-wf,b'Windows Server 2019 Standard 17763', , ,huntress,sentinelone,sentinelone-ranger
pwam-lt-01,b'Windows 10 Home 19043',cisco-umbrella, , ,sentinelone,sentinelone-ranger
pwam-lt-02,b'Windows 10 Home 19044',cisco-umbrella,cybercns-sec-vm,huntress,sentinelone, 
pwam-lt-03,b'Linux', ,cybercns-sec-vm, , ,sentinelone-ranger
pwam-lt-84-bill-lekas,b'Windows 11 Home 22621',cisco-umbrella, ,huntress,sentinelone,sentinelone-ranger
pwam-mv-lt1,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
pwam-mv-lt2,b'Windows 10',cisco-umbrella, , , , 
pwlt-02,b'Windows 10 Home 19044', , , ,sentinelone,sentinelone-ranger
pwlt-03,b'Windows 10 Home 19043',cisco-umbrella,cybercns-sec-vm, ,sentinelone,sentinelone-ranger
ts1,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
ts2,b'Windows Server 2016 Standard 14393', , ,huntress,sentinelone,sentinelone-ranger
ts3,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
ts4,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,sentinelone,sentinelone-ranger
ts5,b'Windows Server 2016 Standard 14393', , ,huntress,sentinelone,sentinelone-ranger
192.168.9.1, , , , , ,sentinelone-ranger
192.168.21.105, , , , , ,sentinelone-ranger
192.168.21.62, , , , , ,sentinelone-ranger
192.168.21.139, , , , , ,sentinelone-ranger
192.168.21.87,b'Android', , , , ,sentinelone-ranger
192.168.21.95, , , , , ,sentinelone-ranger
192.168.21.103,b'Android', , , , ,sentinelone-ranger
192.168.21.125,b'Linux', , , , ,sentinelone-ranger
192.168.21.128, , , , , ,sentinelone-ranger
192.168.21.166,b'Linux', , , , ,sentinelone-ranger
192.168.21.142,b'Android', , , , ,sentinelone-ranger
192.168.21.136,b'Android', , , , ,sentinelone-ranger
192.168.21.133,b'Android', , , , ,sentinelone-ranger
192.168.21.167,b'Android', , , , ,sentinelone-ranger
192.168.21.66,b'Android', , , , ,sentinelone-ranger
192.168.21.168,b'Linux', , , , ,sentinelone-ranger
192.168.21.69,b'Android', , , , ,sentinelone-ranger
192.168.21.148, , , , , ,sentinelone-ranger
192.168.21.59,b'Linux', , , , ,sentinelone-ranger
192.168.21.182,b'Linux', , , , ,sentinelone-ranger
192.168.21.138,b'Android', , , , ,sentinelone-ranger
192.168.21.127,b'Linux', , , , ,sentinelone-ranger
192.168.21.145,b'Linux', , , , ,sentinelone-ranger
192.168.21.51,b'Linux', , , , ,sentinelone-ranger
192.168.21.31,b'Linux', , , , ,sentinelone-ranger
192.168.21.38,b'Linux', , , , ,sentinelone-ranger
192.168.21.14,b'Linux', , , , ,sentinelone-ranger
192.168.21.32,b'Linux', , , , ,sentinelone-ranger
192.168.21.188,b'Linux', , , , ,sentinelone-ranger
192.168.21.173,b'Linux', , , , ,sentinelone-ranger
192.168.21.67,b'Linux', , , , ,sentinelone-ranger
192.168.21.185,b'Linux', , , , ,sentinelone-ranger
192.168.21.196,b'Linux', , , , ,sentinelone-ranger
192.168.21.211,b'Linux', , , , ,sentinelone-ranger
192.168.21.39,b'Linux', , , , ,sentinelone-ranger
192.168.21.50,b'Linux', , , , ,sentinelone-ranger
192.168.21.171,b'Linux', , , , ,sentinelone-ranger
192.168.21.186,b'Linux', , , , ,sentinelone-ranger
192.168.21.57,b'Linux', , , , ,sentinelone-ranger
192.168.21.41,b'Linux', , , , ,sentinelone-ranger
192.168.21.156,b'Linux', , , , ,sentinelone-ranger
192.168.21.150,b'Linux', , , , ,sentinelone-ranger
192.168.21.202,b'Linux', , , , ,sentinelone-ranger
192.168.21.45,b'Linux', , , , ,sentinelone-ranger
192.168.21.120,b'Linux', , , , ,sentinelone-ranger
192.168.21.1, , , , , ,sentinelone-ranger
192.168.21.132,b'Linux', , , , ,sentinelone-ranger
192.168.21.226, , , , , ,sentinelone-ranger
192.168.21.201, , , , , ,sentinelone-ranger
192.168.21.234,b'Linux', , , , ,sentinelone-ranger
192.168.21.78,b'Linux', , , , ,sentinelone-ranger
192.168.21.44,b'Linux', , , , ,sentinelone-ranger
192.168.21.152,b'Linux', , , , ,sentinelone-ranger
192.168.21.214,b'Linux', , , , ,sentinelone-ranger
192.168.21.140,b'Linux', , , , ,sentinelone-ranger
192.168.21.35,b'Linux', , , , ,sentinelone-ranger
192.168.21.101,b'Linux', , , , ,sentinelone-ranger
192.168.21.209,b'Linux', , , , ,sentinelone-ranger
