Asset Name,OS,cb-cloud,microsoft-ad,sentinelone
administorsmini,b'MAC OS 13.2.1',cb-cloud, , 
app01,b'Server 2012 R2 x64',cb-cloud, , 
argcle-d09611,b'Windows 10 Pro 19045', , ,sentinelone
argcle-l07454,b'Windows 10 x64',cb-cloud, , 
argcle-l07479,b'Windows 11 x64',cb-cloud, , 
argcle-l09020,b'Windows 10 Pro 19045', , ,sentinelone
argcle-l09380,b'Windows 10 Pro 19045', , ,sentinelone
argcle-l09386,b'Windows 10 Pro 19045', , ,sentinelone
argcle-l09389,b'Windows 10 Pro 19045', , ,sentinelone
argcle-l09429,b'Windows 10 x64',cb-cloud, , 
argcle-l09518,b'Windows 10 x64',cb-cloud, , 
argcle-l09604,b'Windows 10 x64',cb-cloud, , 
argcle-l09702,b'Windows 10 x64',cb-cloud, , 
azdevads01,b'Windows Server 2019 x64',cb-cloud, , 
azdevbw01,b'Windows Server 2019 x64',cb-cloud, , 
azdeverp01,b'Windows Server 2019 x64',cb-cloud, , 
azdevpi01,b'Windows Server 2019 x64',cb-cloud, , 
azqaads01,b'Windows Server 2019 x64',cb-cloud, , 
azqabw01,b'Windows Server 2019 x64',cb-cloud, , 
azqaerp01,b'Windows Server 2019 x64',cb-cloud, , 
azqapi01,b'Windows Server 2019 x64',cb-cloud, , 
btr,b'Windows 10 Pro 18363', ,microsoft-ad,sentinelone
c108-01,b'Windows 10 x64',cb-cloud, , 
c108-02,b'Windows 10 x64',cb-cloud, , 
cgilpapp01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgilpdbprod01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgilpintel01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgiproxy01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgisa01,b'Server 2003 x86 SP: 2',cb-cloud, , 
cgisql02,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgivmajbpf02,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgivmapp_prod,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgivmcrystal01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cgixcdb01,b'Server 2003 x86 SP: 2',cb-cloud, , 
cgixlapp01,b'Server 2003 x86 SP: 2',cb-cloud, , 
citrix01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
citrix02,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
citrix03,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
citrix05,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
cmkpos-d09485,b'Windows 10 x64',cb-cloud, , 
comarkrdp,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
corinnef164,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
d011-bu01,b'Windows Server 2019 x64',cb-cloud, , 
d011-fp01,b'Server 2012 R2 x64',cb-cloud, , 
dc1,b'Windows Server 2019 x64',cb-cloud, , 
desktop-1ankh48,b'Windows 11 x64',cb-cloud, , 
desktop-84qh6iu,b'Windows 10 Pro 19044', , ,sentinelone
desktop-a2s8gv7,b'Windows 11 x64',cb-cloud, , 
desktop-mukqvvp,b'Windows 10 Pro', ,microsoft-ad, 
desktop-nr71rsp,b'Windows 10 Pro 19045', , ,sentinelone
dpac-opti7040,b'Windows 10 Pro 19044', , ,sentinelone
drs01-rras01,b'Server 2012 R2 x64',cb-cloud, , 
ecommshipping1,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
ecommshipping2,b'Windows 10 Pro', ,microsoft-ad, 
ecommshipping4,b'Windows 10 Pro 18363', ,microsoft-ad,sentinelone
ecommshipping5,b'Windows 10 Pro 17134', ,microsoft-ad,sentinelone
ecommshipping6,b'Windows 7 Professional', ,microsoft-ad, 
fsintra2,b'Server 2003 x86 SP: 2',cb-cloud, , 
h603-bu01,b'Server 2012 R2 x64',cb-cloud, , 
h603-lt041,b'Windows 10 x64',cb-cloud, , 
h603-lt061,b'Windows 10 x64',cb-cloud, , 
h603-lt085,b'Windows 10 x64',cb-cloud, , 
h603-lt111,b'Windows 10 x64',cb-cloud, , 
h603-lt115,b'Windows 10 x64',cb-cloud, , 
h603-lt116,b'Windows 10 x64',cb-cloud, , 
h603-lt153,b'Windows 10 x64',cb-cloud, , 
h603-lt156,b'Windows 10 x64',cb-cloud, , 
h603-lt157,b'Windows 10 x64',cb-cloud, , 
hayleyc158,b'Mac OS X', ,microsoft-ad, 
ho-reporting1,b'Windows 7 x64 SP: 1',cb-cloud, , 
ho-reporting2,b'Windows 7 x64 SP: 1',cb-cloud, , 
ho-reporting3,b'Windows 7 x64 SP: 1',cb-cloud, , 
ho-reporting4,b'Windows 7 x64 SP: 1',cb-cloud, , 
hodc3,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
horizon1,b'Windows Server 2019 x64',cb-cloud, , 
horizonrds,b'Windows Server 2016 x64',cb-cloud, , 
it-support-mini,b'MAC OS 12.6.4',cb-cloud, , 
jannincec121,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
janninec121w7,b'Windows 7 Professional  7601 SP1', ,microsoft-ad,sentinelone
janninec3121,b'Windows 7 Professional  7601 SP1', ,microsoft-ad,sentinelone
jayd120,b'Windows 10 Pro 17763', ,microsoft-ad,sentinelone
joannar,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
kaitlynhorner,b'Windows 10 Pro 19042', ,microsoft-ad,sentinelone
kathya129w10,b'Windows 10 Pro 17763',cb-cloud,microsoft-ad,sentinelone
kellyr134,b'Windows 10 Pro', ,microsoft-ad, 
laptop-r4bggf73,b'Windows 11 x64',cb-cloud, , 
larryb146,b'Windows 10 Pro 19044', ,microsoft-ad,sentinelone
laurenk158,b'MAC OS 12.6.3',cb-cloud, , 
lauries1171,b'Windows 10 Pro 18363', ,microsoft-ad,sentinelone
leanne-jones,b'Mac OS X',cb-cloud,microsoft-ad, 
leol163w10,b'Windows 10 Pro 18363', ,microsoft-ad,sentinelone
lianp,b'Mac OS X',cb-cloud,microsoft-ad, 
lornes151w7,b'Windows 7 x64 SP: 1',cb-cloud,microsoft-ad, 
louisegw10,b'Windows 10 Pro',cb-cloud,microsoft-ad, 
lvs_wh101,b'Windows Server 2019 Standard 17763', ,microsoft-ad,sentinelone
lyonl139l,b'Windows 10 Pro 19045',cb-cloud,microsoft-ad,sentinelone
marie-julietw10,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
meganv152,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
melissay195,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
mgmtdc00,b'Windows Server 2019 x64',cb-cloud, , 
michaelan1119,b'Windows 10 Pro 19045',cb-cloud,microsoft-ad,sentinelone
michelle-l09395,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
milc07447,b'Windows 7 x64 SP: 1',cb-cloud, , 
milco9536,b'Windows 7 x64 SP: 1',cb-cloud, , 
milco9549,b'Windows 10 x64',cb-cloud, , 
milco9575,b'Windows 10 x64',cb-cloud, , 
milco9603,b'Windows 10 x64',cb-cloud, , 
milco9643,b'Windows 10 x64',cb-cloud, , 
milco9692,b'Windows 7 x64 SP: 1',cb-cloud, , 
milcosa00778,b'Windows 7 x64 SP: 1',cb-cloud, , 
milvmems01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
mpr-2016,b'Windows 10 x64',cb-cloud,microsoft-ad, 
nadinel1266,b'Windows 10 Pro 19045',cb-cloud,microsoft-ad,sentinelone
natashaclement,b'Windows 10 Pro 18363', ,microsoft-ad,sentinelone
neelamp111l,b'Windows 10 Pro', ,microsoft-ad, 
neillaptoptemp,b'Windows 10 Pro 17763', ,microsoft-ad,sentinelone
nsbapp1,b'Windows Server 2003 ServicePack2', ,microsoft-ad,sentinelone
nsbapp2,b'Windows Server 2003', ,microsoft-ad, 
nsbapp3,b'Windows Server 2003 ServicePack2', ,microsoft-ad,sentinelone
nsbdb,b'Windows Server 2003 ServicePack2', ,microsoft-ad,sentinelone
on100spp01,b'Server 2003 x86 SP: 2',cb-cloud, , 
on100sql01,b'Server 2003 x86 SP: 2',cb-cloud, , 
onatlasreport01,b'Server 2012 R2 x64',cb-cloud, , 
onsql04,b'Server 2012 R2 x64',cb-cloud, , 
onsql05,b'Server 2012 R2 x64',cb-cloud, , 
onutil01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
onxcmkauthdev01,b'Server 2012 R2 x64',cb-cloud, , 
onxdc01,b'Windows Server 2019 x64',cb-cloud, , 
par-l09756,b'Windows 10 Pro 19042', ,microsoft-ad,sentinelone
parwpg09472,b'Windows 10 Pro 19045', ,microsoft-ad,sentinelone
parwpg09483,b'Windows 10 Pro', ,microsoft-ad, 
pay1,b'Windows 10 x64',cb-cloud, , 
pay3,b'Windows 11 x64',cb-cloud, , 
pl-purodb,b'Windows Server 2016 Standard',cb-cloud,microsoft-ad, 
pl-sdidb,b'Windows Server 2016 Standard',cb-cloud,microsoft-ad, 
pl-sdif02ind01,b'Windows 7 Professional', ,microsoft-ad, 
pl-sdiqa,b'Windows Server 2016 Standard',cb-cloud,microsoft-ad, 
prnfs01,b'Windows Server 2019 x64',cb-cloud, , 
prnutil01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
reception3000,b'Windows 10 Pro 19042',cb-cloud,microsoft-ad,sentinelone
salesaudit1,b'Windows 10 Pro 19045',cb-cloud,microsoft-ad,sentinelone
salesaudit2,b'Windows 10 Pro 19045', , ,sentinelone
sap-bi02,b'Windows Server 2019 x64',cb-cloud, , 
sap-bo01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
sap-ecc02,b'Windows Server 2019 x64',cb-cloud, , 
sap-pi02,b'Windows Server 2019 x64',cb-cloud, , 
sap-solman03,b'Windows Server 2016 x64',cb-cloud, , 
sarahb259-sp3,b'Windows 10 Pro 19042', ,microsoft-ad,sentinelone
shakeraa2019,b'Windows 10 Pro', ,microsoft-ad, 
shellym09463,b'Windows 11 Pro 22621', ,microsoft-ad,sentinelone
sql01,b'Server 2008 R2 x64 SP: 1',cb-cloud, , 
sw0000200001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000200002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000400001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0000400002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000500001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000500002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000600001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000600002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000700001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000700002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0000800001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000800002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000900001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0000900002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001000001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001000002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001100001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0001100002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001400001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001400002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001600001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001600002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001700001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0001700002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001800001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0001800002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002000001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002000002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002100001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002100002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002200001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002200002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002300001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002300002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002400001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002400002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002500001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002500002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002700001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002700002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002800001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002800002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0002900001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0002900002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0003000001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003000002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003100001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003100002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003200001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003200002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0003300001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003300002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003400001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0003400002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003500001,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0003500002,b'Windows 10 Enterprise 2016 LTSB', ,microsoft-ad, 
sw0003600001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003600002,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003700001,b'Windows Embedded Standard', ,microsoft-ad, 
sw0003700002,b'Windows Embedded Standard', ,microsoft-ad, 
