Asset Name,OS,huntress,sentinelone
central-app-2019,b'Windows Server 2019 Datacenter',huntress, 
central-web-a-2019,b'Windows Server 2019 Datacenter',huntress, 
central-web-b-2019,b'Windows Server 2019 Datacenter',huntress, 
central-web-c-2019,b'Windows Server 2019 Datacenter',huntress, 
corp-cubebackup,b'Windows Server 2019 Datacenter',huntress, 
desktop-0c506nk,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-1vii2r5,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-20o6mqp,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-21mt5qu,b'Windows 10 Home 19044',huntress,sentinelone
desktop-2cb59p4,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-3aeo83l,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-4cl9c5r,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-505rvfs,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-53s42od,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-75nbges,b'Windows 10 Home 19044',huntress,sentinelone
desktop-8pgj659,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-94r9vhm,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-96h12f0,b'Windows 10 Pro 19043',huntress,sentinelone
desktop-9d937k4,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-adln252,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-beif8jh,b'Windows 10 Pro',huntress, 
desktop-bhqrrtp,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-c2um2m7,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-deedmqr,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-dmgh622,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-e6oni3r,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-hscrbfo,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-j8hernt,b'Windows 10 Pro 19044', ,sentinelone
desktop-jacobb,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-k1gmko5,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-kdti8am,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-kfvsv1p,b'Windows 11 Pro 22621',huntress,sentinelone
desktop-ko8t31h,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-lugkm9b,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-nairjam,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-p1ab3td,b'Windows 10 Home 19045',huntress,sentinelone
desktop-qiaibuh,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-r81shk0,b'Windows 10 Pro 19045', ,sentinelone
desktop-shf78d5,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-sr60p8m,b'Windows 10 Pro 19045',huntress,sentinelone
desktop-stevenr,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-u36fd84,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-u8bjbn3,b'Windows 10 Pro 19045', ,sentinelone
desktop-ud7sia0,b'Windows 10 Pro 19044',huntress,sentinelone
desktop-vm1kclh,b'Windows 11 Pro 22621',huntress,sentinelone
east-app-2019,b'Windows Server 2019 Datacenter',huntress, 
east-web-a-2019,b'Windows Server 2019 Datacenter',huntress, 
east-web-c-2019,b'Windows Server 2019 Datacenter',huntress, 
east-web-d-2019,b'Windows Server 2019 Datacenter',huntress, 
jw-pc,b'Windows 11 Pro 22621',huntress,sentinelone
naaliano,b'Windows 11 Pro 22621',huntress,sentinelone
safetydev,b'Windows Server 2012 R2 Standard 9600',huntress,sentinelone
srwebserver1dr,b'Windows Server 2016 Datacenter 14393',huntress,sentinelone
srwebserverdrz1,b'Windows Server 2019 Datacenter 17763',huntress,sentinelone
srwebservereml1,b'Windows Server 2016 Datacenter 14393',huntress,sentinelone
srwebservereml2,b'Windows Server 2016 Datacenter 14393',huntress,sentinelone
srwebserverstg1,b'Windows Server 2016 Datacenter',huntress, 
srwebserverwz1,b'Windows Server 2019 Datacenter 17763',huntress,sentinelone
srwebserverwz2,b'Windows Server 2019 Datacenter 17763',huntress,sentinelone
toolwatchs-macbook-pro-5,b'OS X 13.3 (22E252)', ,sentinelone
toolwatchs-macbook-pro6,b'OS X 12.6.3 (21G419)', ,sentinelone
tw-mac226778-w,b'Windows 10 Pro 19045', ,sentinelone
twadmin,b'Windows 11 Pro 22621',huntress,sentinelone
west-app-2019,b'Windows Server 2019 Datacenter',huntress, 
west-web-a-2019,b'Windows Server 2019 Datacenter',huntress, 
west-web-b-2019,b'Windows Server 2019 Datacenter',huntress, 
west-web-c-2019,b'Windows Server 2019 Datacenter',huntress, 
win-ljphsm3oqi0,b'Windows Server 2019 Standard 17763',huntress,sentinelone
