Asset Name,OS,huntress,microsoft-ad
012-ws1,b'Windows 10 Pro',huntress, 
022-ws1,b'Windows 10 Pro',huntress, 
044-ws1,b'Windows 10 Pro',huntress, 
049-ws1,b'Windows 10 Pro',huntress, 
065-ws1,b'Windows 10 Pro',huntress, 
080-ws1,b'Windows 10 Pro',huntress, 
086-ws1,b'Windows 10 Pro',huntress, 
090-ws1,b'Windows 10 Pro',huntress, 
093-ws1,b'Windows 10 Pro',huntress, 
098-ws1,b'Windows 10 Pro',huntress, 
116-ws1,b'Windows 10 Pro',huntress, 
123-ws1,b'Windows 10 Pro',huntress, 
135-ws1,b'Windows 10 Pro',huntress, 
141-ws1,b'Windows 10 Pro',huntress, 
154-ws1,b'Windows 10 Pro',huntress, 
158-ws1,b'Windows 10 Pro',huntress, 
170-ws1,b'Windows 10 Pro',huntress, 
178-ws1,b'Windows 10 Pro',huntress, 
179-ws1,b'Windows 10 Pro',huntress, 
194-ws1,b'Windows 10 Pro',huntress, 
203-ws1,b'Windows 10 Pro',huntress, 
208-ws1,b'Windows 10 Pro',huntress, 
211-ws1,b'Windows 10 Pro',huntress, 
212-ws1,b'Windows 10 Pro',huntress, 
222-ws1,b'Windows 10 Pro',huntress, 
246-ws1,b'Windows 10 Pro',huntress, 
256-ws1,b'Windows 10 Pro',huntress, 
258-ws1,b'Windows 10 Pro',huntress, 
a-4760,b'Windows Server 2008 R2 Standard',huntress,microsoft-ad
acuw-safety-p1,b'Windows 10 Pro',huntress, 
acuw10-conf,b'Windows 10 Pro',huntress, 
adfs-sb,b'Windows Server 2019 Standard',huntress,microsoft-ad
albertc,b'Windows 7 Professional',huntress,microsoft-ad
ana-g,b'Windows 7 Professional', ,microsoft-ad
ap-rdeleon,b'Windows 10 Pro',huntress,microsoft-ad
ap-temp,b'Windows 10 Pro',huntress,microsoft-ad
ap-terrir,b'Windows 10 Pro',huntress,microsoft-ad
apps101,b'Windows Server 2003', ,microsoft-ad
apps_oc,b'Windows Server 2003', ,microsoft-ad
ar-ciraa,b'Windows 10 Pro',huntress,microsoft-ad
atlas-ams,b'Windows Server 2019 Standard',huntress,microsoft-ad
ax-tfs,b'Windows Server 2012 Datacenter',huntress,microsoft-ad
ax-uat,b'Windows Server 2012 R2 Datacenter',huntress,microsoft-ad
axbuild-dev,b'Windows Server 2016 Datacenter',huntress,microsoft-ad
bobm-lt,b'Windows 7 Professional',huntress,microsoft-ad
carp-7cwnhl2,b'Windows 10 Pro',huntress,microsoft-ad
carp-billys,b'Windows 10 Pro',huntress,microsoft-ad
casa-abigailg,b'Windows 10 Pro',huntress,microsoft-ad
casa-clarissa,b'Windows 10 Pro',huntress,microsoft-ad
casa-jqcbx32,b'Windows 10 Pro',huntress,microsoft-ad
casa-larsa,b'Windows 10 Pro',huntress,microsoft-ad
casa-luist,b'Windows 10 Pro',huntress,microsoft-ad
casa-maryloua,b'Windows 7 Professional', ,microsoft-ad
casa-noahc,b'Windows 10 Pro',huntress,microsoft-ad
casa-veronicam,b'Windows 10 Pro',huntress,microsoft-ad
casa1,b'Windows Server 2003', ,microsoft-ad
case1,b'Windows 10 Pro',huntress,microsoft-ad
comops-745,b'Windows XP Professional', ,microsoft-ad
cr-server,b'Windows Server 2019 Standard',huntress,microsoft-ad
credit-jenniferr,b'Windows 10 Pro',huntress,microsoft-ad
cs407,b'Samba', ,microsoft-ad
cus-shamimn,b'Windows 10 Pro',huntress,microsoft-ad
customs-dllljm2,b'Windows 10 Pro',huntress,microsoft-ad
customs-thelma,b'Windows 10 Pro',huntress,microsoft-ad
d365-dev01,b'Windows Server 2016 Datacenter',huntress,microsoft-ad
d365-dev02,b'Windows Server 2016 Datacenter', ,microsoft-ad
d365-dev03,b'Windows Server 2019 Datacenter',huntress,microsoft-ad
d365-dev04,b'Windows Server 2016 Datacenter',huntress,microsoft-ad
d365-dev05,b'Windows Server 2019 Datacenter',huntress,microsoft-ad
d365-dev11,b'Windows Server 2016 Datacenter',huntress,microsoft-ad
d365-edi,b'Windows Server 2016 Standard',huntress,microsoft-ad
d365-rds1,b'Windows Server 2016 Standard',huntress,microsoft-ad
d365-test-8,b'Windows 10 Pro',huntress,microsoft-ad
data_acct,b'Windows Server 2003', ,microsoft-ad
data_casa,b'Windows Server 2003', ,microsoft-ad
data_oc,b'Windows Server 2003', ,microsoft-ad
dax-aos1,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-aos2,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-aos3,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-aos4,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-aos5,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-aos6,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-aos7,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-mr1,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-mr2,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-orch1,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-orch2,b'Windows Server 2016 Standard',huntress,microsoft-ad
dax-orch3,b'Windows Server 2016 Standard',huntress,microsoft-ad
