Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad
alyse-laptop,b'Windows 10 Home', ,huntress, 
angelopc01,b'Windows 10 Pro', ,huntress,microsoft-ad
bfacheckin01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bfadesktop01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bfadesktop04,b'Windows 11 Pro', , ,microsoft-ad
bfalab01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bfalaptop01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bfalaptop02,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bfalaptop03,b'Windows 10 Pro', ,huntress,microsoft-ad
bfanas, , , ,microsoft-ad
bfasurface01,b'Windows 11 Pro',cybercns-sec-vm,huntress,microsoft-ad
bsb-pc01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bsb-pc02,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bsb-pc03,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bsb-pc04,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bsb-pc05,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bsb-pc06,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
bsb01,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
clairemlaptop,b'Windows 10 Pro', ,huntress,microsoft-ad
cs01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
phx-courtneys,b'Windows 10 Pro', ,huntress,microsoft-ad
phx-frontdesk,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
phx-labels,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
phx-work01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
phx-work02,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
phx02,b'Windows Server 2019 Standard',cybercns-sec-vm,huntress,microsoft-ad
psb009,b'Windows 10 Pro', ,huntress,microsoft-ad
san-dt-01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
san-dt-03,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
san-dt-04,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
san-dt-06,b'Windows 11 Pro', ,huntress,microsoft-ad
sdsb-lab-laptop,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
sdsb01,b'Windows Server 2016 Standard',cybercns-sec-vm,huntress,microsoft-ad
sdsb07,b'Windows 10 Pro', ,huntress,microsoft-ad
sea-angelo-lt01,b'Windows 11 Pro',cybercns-sec-vm,huntress,microsoft-ad
sealab03,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
sealabel02,b'Windows 10 Pro', ,huntress,microsoft-ad
shipping02,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
shipping03,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-claire,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-frontdesk,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-it01,b'Windows 10 Pro for Workstations',cybercns-sec-vm,huntress,microsoft-ad
ssb-it01-b,b'Windows 11 Pro', , ,microsoft-ad
ssb-pc12,b'Windows 10 Pro', ,huntress, 
ssb-pc13,b'Windows 11 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-pc15,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-pc17,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-pc8,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-remote01,b'Windows 10 Pro', ,huntress,microsoft-ad
ssb-remote02,b'Windows 10 Pro',cybercns-sec-vm, ,microsoft-ad
ssb-remote03,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-remote04,b'Windows 10 Pro', ,huntress,microsoft-ad
ssb-remote05,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-remote06,b'Windows 11 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-remote08,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-remote09,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-remote10,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssb-remote12,b'Windows 10 Pro', ,huntress,microsoft-ad
ssb-remote13,b'Windows 11 Pro', , ,microsoft-ad
ssb-sparelaptop,b'Windows 10 Pro', ,huntress,microsoft-ad
ssb02,b'Windows Server 2016 Standard',cybercns-sec-vm,huntress,microsoft-ad
ssbalan01,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssbfredrik01,b'Windows 10 Pro', ,huntress,microsoft-ad
ssblab03,b'Windows 10 Pro', ,huntress,microsoft-ad
ssbprocess,b'Windows Server 2019 Datacenter',cybercns-sec-vm,huntress,microsoft-ad
ssbsales02,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ssbsales03,b'Windows 10 Pro',cybercns-sec-vm,huntress,microsoft-ad
ukdc,b'Windows Server 2022 Datacenter',cybercns-sec-vm, ,microsoft-ad
192.168.206.52,b'Windows 10 Pro',cybercns-sec-vm, , 
