Asset Name,OS,azure-ad,cybercns-sec-vm,huntress
crpc,b'Microsoft Windows 10 Pro',azure-ad,cybercns-sec-vm, 
solisdesktop-04,b'Windows 10 Pro', , ,huntress
solisdesktop-05,b'Windows 10 Pro', , ,huntress
solisdesktop-06,b'Windows 10 Pro', , ,huntress
solisdesktop-07,b'Windows 10 Pro', , ,huntress
solisdesktop-1,b'Windows 11 Pro',azure-ad, ,huntress
solisdesktop-2,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop1,b'Microsoft Windows 11 Pro', ,cybercns-sec-vm,huntress
solislaptop10,b'Microsoft Windows 10 Pro', ,cybercns-sec-vm,huntress
solislaptop11,b'Windows 11 Pro', , ,huntress
solislaptop12,b'Windows 11 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop17,b'Windows 10 Pro',azure-ad, ,huntress
solislaptop18,b'Windows 10 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop19,b'Windows 10 Pro',azure-ad, ,huntress
solislaptop20,b'Windows 11 Pro', ,cybercns-sec-vm,huntress
solislaptop22,b'Windows 10 Pro for Workstations',azure-ad, ,huntress
solislaptop24,b'Microsoft Windows 11 Pro',azure-ad,cybercns-sec-vm, 
solislaptop25,b'Windows 11 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop27,b'Windows 10 Pro',azure-ad, ,huntress
solislaptop28,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop29,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop3,b'Microsoft Windows 11 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop30,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop31,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop33,b'Windows 11 Pro',azure-ad, ,huntress
crpc,b'Microsoft Windows 10 Pro',azure-ad,cybercns-sec-vm, 
solisdesktop-04,b'Windows 10 Pro', , ,huntress
solisdesktop-05,b'Windows 10 Pro', , ,huntress
solisdesktop-06,b'Windows 10 Pro', , ,huntress
solisdesktop-07,b'Windows 10 Pro', , ,huntress
solisdesktop-1,b'Windows 11 Pro',azure-ad, ,huntress
solisdesktop-2,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop1,b'Microsoft Windows 11 Pro', ,cybercns-sec-vm,huntress
solislaptop10,b'Microsoft Windows 10 Pro', ,cybercns-sec-vm,huntress
solislaptop11,b'Windows 11 Pro', , ,huntress
solislaptop12,b'Windows 11 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop17,b'Windows 10 Pro',azure-ad, ,huntress
solislaptop18,b'Windows 10 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop19,b'Windows 10 Pro',azure-ad, ,huntress
solislaptop20,b'Windows 11 Pro', ,cybercns-sec-vm,huntress
solislaptop22,b'Windows 10 Pro for Workstations',azure-ad, ,huntress
solislaptop24,b'Microsoft Windows 11 Pro',azure-ad,cybercns-sec-vm, 
solislaptop25,b'Windows 11 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop27,b'Windows 10 Pro',azure-ad, ,huntress
solislaptop28,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop29,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop3,b'Microsoft Windows 11 Pro',azure-ad,cybercns-sec-vm,huntress
solislaptop30,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop31,b'Windows 11 Pro',azure-ad, ,huntress
solislaptop33,b'Windows 11 Pro',azure-ad, ,huntress
