Asset Name,OS,cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
acct-rburris-dt,b'Windows 10 Pro', , , ,microsoft-ad, 
acctpc1,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
act-rburris-lt,b'Windows 10 Pro 19045', , ,huntress,microsoft-ad,sentinelone
bam-tech3,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
blitzen,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
camera,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cfo-vburman-lt,b'Windows 10 Pro', , , ,microsoft-ad, 
cha-ret361,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
cha-ret362a,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
crowspeak,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
den-din2702,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
den-rental271,b'Windows 10 Pro N 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
den-rentpos273,b'Windows 10 Pro N 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
den-res272,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
den-res274,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
den-res302a,b'Windows 10 Pro 19045', ,cybercns-sec-vm, ,microsoft-ad,sentinelone
desktop-e93i10t,b'Windows 11 Pro', , ,huntress, , 
desktop-g5kbgjn,b'Windows 10 Pro 19045', , ,huntress, ,sentinelone
desktop-mq4rcmu,b'Windows 11 Home 22000', ,cybercns-sec-vm,huntress, ,sentinelone
desktop-mtek4gi,b'Windows 10 Pro 19045', , , , ,sentinelone
desktop-pc3ortv,b'Windows 10 Pro 19045', , ,huntress, ,sentinelone
desktop-sdq40hn,b'Windows 10 Pro 19045', , ,huntress, ,sentinelone
dsl-husup,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
dsl-mgr208,b'Windows 10 Pro N 18362', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
eagle,b'Windows 10 x64',cb-cloud, , , , 
easystreet,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
event-rtp172,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
event-rtp413,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
goldrush,b'Windows Server 2019 Standard 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
helpdesk,b'Windows Server 2012 Datacenter 9200', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hot-mngr,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hot-pos2,b'Windows 10 Pro', , , ,microsoft-ad, 
hot-pos4,b'Windows 10 Pro 18363', , , ,microsoft-ad,sentinelone
hot-res,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hr-frontdesk532,b'Windows 10 Pro 19044',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hr-frontdesk533,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hr-medaris-lt,b'Windows 10 Pro 19044', ,cybercns-sec-vm, ,microsoft-ad,sentinelone
hr-riskmgr-dt,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hre-admin,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hre-frontoffice,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hre-recruiter,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hre-tknill-lt,b'Windows 10 Pro', , , ,microsoft-ad, 
hrmanager1,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hwy-tix152a,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hwy-tix153a,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
hwy-tix154a,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
if-slucia-lt,b'Windows 11 Pro', , , ,microsoft-ad, 
it-loan1-lt,b'Windows 10 Pro', , ,huntress,microsoft-ad, 
it-loaner-nonic,b'Windows 10 Pro', , , ,microsoft-ad, 
it-loaner6-lt,b'Windows 10 Pro', , , ,microsoft-ad, 
it-loanlaptop8,b'Windows 10 Pro 19043', ,cybercns-sec-vm, ,microsoft-ad,sentinelone
it-loanlaptop9,b'Windows 10 x64',cb-cloud, , ,microsoft-ad, 
it-manager,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
it-mgr-dt,b'Windows 10 Pro', , , ,microsoft-ad, 
it-mgr-lt,b'Windows 11 Pro', , , ,microsoft-ad, 
it-netadmin,b'Windows 10 Pro', , , ,microsoft-ad, 
it-technician,b'Windows 10 Pro', , , ,microsoft-ad, 
it-vendor,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jerome-tablet,b'Windows 10 Pro',cb-cloud, , ,microsoft-ad, 
jud-cafepos401,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-cafepos402,b'Windows 10 Pro', , , ,microsoft-ad, 
jud-cafepos403,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-care,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-cc222,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-csi2101,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-csi2102,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-din2002,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-fbmgr,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-finishline,b'Windows 10 Pro 19041', ,cybercns-sec-vm, ,microsoft-ad,sentinelone
jud-kidcsi2271,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-kidcsi2273,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-kidscsi2272,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-rent201,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-rent203,b'Windows 10 Pro N 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-rent204,b'Windows 10 Pro N 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-rent226,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-rentmngr,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-rtl143,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-rtl143a,b'Windows 10 Pro N 19045',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-security,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-shipping,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-skierservicesdirector,b'Windows 10 Pro 19041', , ,huntress,microsoft-ad,sentinelone
jud-spec112,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-spec114,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-spec116,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-specialsup,b'Windows 10 Pro 19044',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-tix101,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-tix103,b'Windows 10 Pro 19041',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-tix104,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
jud-tix105,b'Windows 10 Pro 19041', , ,huntress,microsoft-ad,sentinelone
judah-tablet,b'Windows 10 Pro',cb-cloud, , ,microsoft-ad, 
judahbar1,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
judahbar2,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
liberty,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
lincoln,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
lincoln-tablet,b'Windows 10 Pro', , , ,microsoft-ad, 
mediasrv,b'Windows Server 2012 R2 Standard 9600', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mid-bar-bbq404,b'Windows 10 Pro 19043',cb-cloud,cybercns-sec-vm, ,microsoft-ad,sentinelone
mid-bar471,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mid-cafepos461,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mid-cafepos462,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mid-fbmgr,b'Windows 10 Pro 19041',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mid-race,b'Windows 10 Pro 19042',cb-cloud, , ,microsoft-ad,sentinelone
mkt-execlaptop,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mkt-grpsales,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
mkt-snow1,b'Windows 10 Pro 19041', ,cybercns-sec-vm, ,microsoft-ad,sentinelone
nagios, , , , ,microsoft-ad, 
nob-tablet,b'Windows 10 Pro', , , ,microsoft-ad, 
ops-cameras,b'Windows 10 Pro 19043',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ops-gondolamgr,b'Windows 10 Pro 19041',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ops-jenna-lt,b'Windows 10 Business', , , ,microsoft-ad, 
ops-liftopsmngr,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ops-skiservices,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ops-timekeeping,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ops-tixmgr,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ops-training,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
patrol5-dt,b'Windows 10 Pro', , , ,microsoft-ad, 
ponyexpress,b'Windows Server 2016 Datacenter 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rd-cparker-lt,b'Windows 10 Pro', , , ,microsoft-ad, 
ret-mgr-lt,b'Windows 10 Pro', , , ,microsoft-ad, 
ret-mngr-dt,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rgl-cafepos611,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rgl-dir1,b'Windows 10 Pro',cb-cloud, ,huntress,microsoft-ad, 
rgl-pos601a,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rgl-pos602,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rgl-pos603,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rgl-skischool,b'Windows 10 Pro 19042', , , ,microsoft-ad,sentinelone
rm-admin-dt,b'Windows 10 Pro', , , ,microsoft-ad, 
rm-manager,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rm-shop1,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rm-supervisor,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
rtp2022,b'Windows Server 2019 Standard 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ryanhost,b'Windows Server 2016 Datacenter 14393', , ,huntress,microsoft-ad,sentinelone
sb-radius-vm-00,b'Windows Server 2019 Standard', , , ,microsoft-ad, 
sb-wsus-vm-001,b'Windows Server 2019 Standard', , , ,microsoft-ad, 
sbc-photocube,b'Windows 10 Pro', , , ,microsoft-ad, 
sbc-shoretel,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sbestore,b'Windows Server 2016 Standard', , ,huntress, , 
sbs-hreyerso-lt,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sbs-opsmanager,b'Windows 10 Pro 19043', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sbs-seniormngr,b'Windows 10 Pro 19041', , , ,microsoft-ad,sentinelone
sbunifi,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
schl-din2008,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
shop-liftmaint1,b'Windows 10 Pro 19045', , ,huntress,microsoft-ad,sentinelone
sidewinder,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
ski-mgr,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
solisvm,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
srv-powcamvpn,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
steilhang,b'Windows Server 2019 Standard 17763', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
steilhangold,b'Windows Server 2012 Standard 9200', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
sunset,b'Windows Server 2016 Standard 14393', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
tablet-171,b'Windows 10 Pro',cb-cloud, , ,microsoft-ad, 
tri-fbchef,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress, ,sentinelone
tri-hospexec,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
tri-rdpm,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
tri-vppd,b'Windows 10 Pro for Workstations 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
tub-tickets489,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
tubing-fb488,b'Windows 10 Pro',cb-cloud, , ,microsoft-ad, 
vanderbuilt,b'Windows Server 2016 Datacenter 14393', ,cybercns-sec-vm,huntress, ,sentinelone
vc,b'VMware vCenter Server 7.0.3', ,cybercns-sec-vm, , , 
vha-pos170,b'Windows 10 Pro',cb-cloud, , ,microsoft-ad, 
vil-accntap,b'Windows 10 Pro 19044', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-acctmngr,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-adminasst,b'Windows 10 Pro 19041',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-belt441,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-belt442,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-belt443,b'Windows 10 Pro 19044', , , ,microsoft-ad,sentinelone
vil-belt444,b'Windows 10 Pro 19042',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-bridget,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-cc143,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-cc144,b'Windows 10 Pro 19042',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-cfo,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-chefpc,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-dine431,b'Windows 10 Pro 19044', , , ,microsoft-ad,sentinelone
vil-dine432,b'Windows 10 Pro 19044', , , ,microsoft-ad,sentinelone
vil-dinemngr,b'Windows 10 Pro 19044',cb-cloud,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-donna,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-espresso481,b'Windows 10 Pro 19044', , ,huntress,microsoft-ad,sentinelone
vil-fbexec,b'Windows 10 Pro 19041', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-gdallas,b'Windows 10 Pro 19042', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-hchecker,b'Windows 10 Pro 18363', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-itprogrammer,b'Windows 10 Business 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
vil-kidsmngr,b'Windows 10 Pro 19045', ,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
