Asset Name,OS,huntress,nessus
accountingptr, , ,nessus
cody-laptop,b'Windows 10 Pro',huntress, 
csintern,b'Windows 10 Pro',huntress, 
desktop-1bp46pk,b'Windows 10 Pro',huntress, 
desktop-2d07kd2,b'Polycom SIP Device', ,nessus
desktop-2jkdkj8,b'Windows 10 Pro',huntress, 
desktop-32283,b'Windows 10 Pro',huntress, 
desktop-32sqno7,b'Windows 10 Pro',huntress, 
desktop-3gniias,b'Windows 11 Pro',huntress, 
desktop-49ko9nl,b'Windows 10 Pro',huntress, 
desktop-4q80gt9,b'Windows 10 Pro',huntress, 
desktop-4urrfk1,b'Windows 10 Pro',huntress, 
desktop-5ih7li0,b'Windows 10 Pro',huntress, 
desktop-5t571d0,b'Windows 10 Pro',huntress,nessus
desktop-6sdmcv8,b'Windows 10 Pro',huntress, 
desktop-7e3rbmh,b'Windows 10 Pro',huntress, 
desktop-7r8i6v5,b'Polycom SIP Device', ,nessus
desktop-7svjl11,b'Windows 10 Pro',huntress, 
desktop-8c9kiri,b'Windows 10 Pro',huntress, 
desktop-8coiifv,b'Windows 10 Pro',huntress, 
desktop-95oopjq,b'Windows 10 Pro',huntress, 
desktop-9kvn7t1,b'Windows 10 Pro',huntress, 
desktop-ai5qd3a,b'Windows 10 Pro',huntress, 
desktop-an0fdmd,b'Windows 10 Pro',huntress, 
desktop-b5mcq6j,b'Windows 10 Pro',huntress,nessus
desktop-cvk65o5,b'Windows 10 Pro',huntress, 
desktop-d2rih2c,b'Windows 10 Pro',huntress, 
desktop-di70kpu,b'Polycom SIP Device', ,nessus
desktop-e7is095,b'Windows 10 Pro',huntress, 
desktop-elju61k,b'Windows 10 Pro',huntress, 
desktop-euplupf,b'Windows 10 Pro',huntress, 
desktop-f20o687,b'Windows 10 Pro',huntress, 
desktop-f4t82b1,b'Windows 10 Pro',huntress, 
desktop-fiusdde,b'Windows 10 Pro',huntress, 
desktop-h2qe6qc,b'Windows 10 Pro',huntress, 
desktop-juhp0a5,b'Windows 10 Pro',huntress, 
