Asset Name,OS,cybercns-sec-vm,huntress,microsoft-ad,sentinelone
arcgis,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress, ,sentinelone
c02gk2y1md6q,b'OS X 13.0.1 (22A400)', , , ,sentinelone
c02j70pmq6l3,b'OS X 13.0.1 (22A400)', , , ,sentinelone
c02w56j6j1gg,b'OS X 11.7.2 (20G1020)', , , ,sentinelone
c07yf03kjyvx,b'OS X 13.2.1 (22D68)', , , ,sentinelone
crs908d6e8cfb66,b'Windows 10 Enterprise', ,huntress, , 
crs908d6e8d0dbd,b'Windows 10 Enterprise 19044', ,huntress, ,sentinelone
crs908d6e8d0e1d,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress, ,sentinelone
crs908d6e8db4d9,b'Windows 10 Enterprise', ,huntress, , 
crs908d6e8de7ed,b'Windows 10 Enterprise 19045', ,huntress, ,sentinelone
crs908d6e8de83c,b'Windows 10 Enterprise', ,huntress, , 
crs908d6e8f56dc,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress, ,sentinelone
crs908d6e8f5e20,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress, ,sentinelone
crsa029193deafe,b'Windows 10 Enterprise 19045', ,huntress, ,sentinelone
crsa029193ec74e,b'Windows 10 Enterprise 19045', , , ,sentinelone
crsa029193ec760,b'Windows 10 Enterprise 19045',cybercns-sec-vm,huntress, ,sentinelone
crsa029193f87d7,b'Windows 10 Enterprise 19045', ,huntress, ,sentinelone
dc01,b'Windows Server 2022 Standard 20348', ,huntress, ,sentinelone
dc02,b'Windows Server 2022 Standard 20348', ,huntress, ,sentinelone
desktop-3fuvqkf,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-6b3no0u,b'Windows 10 Pro 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-8aok8q1,b'Windows 10 Pro 19045', ,huntress, ,sentinelone
desktop-cflebk5,b'Windows 10 Enterprise 19044', ,huntress, ,sentinelone
desktop-enr762g,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-gn47a5j,b'Windows 10 Enterprise 2015 LTSB 10240', ,huntress, ,sentinelone
desktop-j2ukb95,b'Windows 10 Enterprise 19044', ,huntress, ,sentinelone
desktop-k2vu5of,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-mn3v2ho,b'Windows 10 Enterprise 19044', ,huntress, ,sentinelone
desktop-mq29kn0,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-pcs15id,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-u79k3rv,b'Windows 10 Enterprise 19044',cybercns-sec-vm,huntress, ,sentinelone
desktop-v3ovco3,b'Windows 10 Enterprise', ,huntress, , 
dhcp1,b'Windows Server 2022 Standard 20348', ,huntress, ,sentinelone
dhcp2,b'Windows Server 2019 Standard 17763', ,huntress, ,sentinelone
dist-bg4,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress, ,sentinelone
dist-bg5,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress, ,sentinelone
dist-bg6,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress, ,sentinelone
dist-cert1,b'Windows Server 2012 R2 Standard 9600', ,huntress, ,sentinelone
dist-dns1,b'Windows Server 2012 R2 Standard', ,huntress, , 
dist-door2,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress, ,sentinelone
dist-mt1,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress, ,sentinelone
dist-newbg2,b'Windows Server 2016 Standard 14393',cybercns-sec-vm,huntress, ,sentinelone
dist-pacu1,b'Windows Server 2012 R2 Standard 9600', ,huntress, ,sentinelone
dist-pd,b'Windows Server 2016 Standard 14393', ,huntress, ,sentinelone
dist-print1,b'Windows Server 2012 R2 Standard 9600',cybercns-sec-vm,huntress, ,sentinelone
dist-pv1,b'Windows Server 2016 Standard 14393', ,huntress, ,sentinelone
dist-sftp1,b'Windows Server 2019 Standard 17763',cybercns-sec-vm,huntress, ,sentinelone
