Asset Name,OS,huntress,microsoft-ad,sentinelone
acacia,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
accoya,b'Windows 10 Pro', ,microsoft-ad, 
alder,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
bamboo,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
butternut,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
cedar,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
cottonwood,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
crossgrain,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
deadwood,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
fig,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
hollywood,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
ipe,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
ivy,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
larch2,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
laurel,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
manzanita,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
maple20,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
mbc-abacus5,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
mbc6,b'Windows Server 2012 R2 Standard',huntress,microsoft-ad, 
mbc7,b'Windows Server 2012 R2 Standard',huntress,microsoft-ad, 
myrtle,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
osage,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
papaya,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
paralam,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
persimmon,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
pine,b'Windows 10 Pro 19045',huntress,microsoft-ad,sentinelone
redwood,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
rosemary,b'Windows 11 Pro 22621',huntress,microsoft-ad,sentinelone
sassafras,b'Windows 10 Pro 19044',huntress,microsoft-ad,sentinelone
